Name,Arrival Time,TEU,Waiting Cost
USS Stingray  ,0.3166552947498192,1298,3600
Flying Dutchman ,0.45244384538112387,2628,3600
SSNR Seaview ,0.5651144936030076,1489,3600
SS Happy Wanderer ,0.6930548196462649,1919,3600
USS Sawfish ,0.8640784103233267,2033,3600
HMS Sherwood  ,1.2690392769421186,2213,3600
USS Tiger Shark ,1.3831277599531202,1037,3600
Ning-Po  ,1.9561393868779928,2924,3600
Saracen ,2.0847729086407227,1088,3600
Aeolus ,2.397522308219972,2295,3600
Black Hawk ,2.828394448390179,1400,3600
Orca ,3.0526079891624396,1099,3600
Stealth Ship ,3.244667644278048,2539,3600
HMS Chester ,3.4158893812720525,1692,3600
Glencairn ,3.583246140950691,1130,3600
Reaper  ,3.6845483257028215,2199,3600
SSN Ulysses ,4.569267637760354,2429,3600
Rob Roy ,4.676920194665385,1808,3600
Poseidon ,4.965479203675677,2110,3600
USS Valhalla ,5.059949223651879,2343,3600
MS Ergenstrasse ,5.164752870224421,2531,3600
Red Dragon  ,5.240391214793748,2036,3600
Albatross ,5.411369609940249,1547,3600
Academic Vladislav Volkov ,5.636113181008261,1874,3600
Morning Star ,5.772402665683782,1121,3600
USS Intrepid ,6.337998254175046,1356,3600
Immer Essen ,6.4388918332125895,1953,3600
Black Swan ,6.573486528145152,1626,3600
Flying Dutchman ,6.657334065925605,2314,3600
Pequod ,6.786388075231406,1312,3600
USS Thunderfish ,7.239241787297719,1565,3600
USS Tiger Shark ,7.386075157789156,1545,3600
USS Tiger Shark ,7.604815038592471,1231,3600
HMS Endeavour ,7.905050150070649,1282,3600
Black Swan ,8.242746910853679,1208,3600
Wonkatania ,8.360540027513098,1820,3600
SS Minnow Johnson  ,8.734092127089145,1565,3600
IJN Shinaru ,9.185058116021976,1643,3600
Batavia Queen ,9.360313033939589,2757,3600
Pequod ,9.630694668403352,2221,3600
Albatross ,9.948929517388436,1230,3600
Acheron ,10.20396374575578,1030,3600
Proteus  ,10.31618989845648,1627,3600
Benthic Explorer ,10.54937453472316,1124,3600
USS Abraham Lincoln ,11.151558160503855,2238,3600
USS Dragonfish ,11.261934919665798,2260,3600
Elizabeth Dane ,11.433433348012102,2613,3600
HMS Viperess ,11.56495529531306,2410,3600
Yellow Submarine ,11.692694909414987,2477,3600
USS Caine ,11.989113914821488,2558,3600
