Name,Arrival Time,TEU,Waiting Cost
Glencairn ,0.29890337293105673,1546,3600
USS Sawfish ,0.414468464224786,2218,3600
Empress ,0.5673551599643742,1637,3600
HMS Interceptor ,0.7859411776787356,2866,3600
Caledonia II  ,1.2290856488677884,2878,3600
Reaper  ,1.7472937624813638,1044,3600
Aquanaut 3  ,2.0502754447391305,2913,3600
USS Sea Tiger ,2.2265289010343774,1076,3600
Liparus ,2.6012423599387864,1068,3600
MS Ergenstrasse ,2.751122530061488,1369,3600
HMS Devonshire ,2.8698051279612153,2062,3600
SSN Ulysses ,2.9029700202770528,1088,3600
Reaper  ,3.2099066152381233,1762,3600
Angelina  ,3.3650899476120344,2241,3600
USS San Pablo ,3.5841178987922464,2861,3600
Batavia Queen ,3.753372364414086,1054,3600
Edinburgh Trader ,3.870473037063284,1721,3600
USS Lansing ,3.955236083071936,2885,3600
Elizabeth Dane ,4.115458696681623,2395,3600
USS Echo ,4.202692077716575,1471,3600
Albatross ,4.589314289650913,1654,3600
HMS Endeavour ,4.863866916408846,2919,3600
Hai Peng ,5.159966311125714,2242,3600
Ulysses ,5.248785639810446,1160,3600
Altair ,5.37882929033587,2857,3600
Disco Volante ,5.525573228900582,2232,3600
Rachel ,5.697267608451935,1648,3600
SS Britannic ,5.81031570528711,2963,3600
The Inferno ,5.865573476905424,1167,3600
Glencairn ,6.067490518890328,1983,3600
Benthic Explorer ,6.273541456898446,1061,3600
USS Poseidon ,6.500765749922734,1704,3600
Stealth Ship ,6.675590152255955,1048,3600
Batavia Queen ,6.997582830009962,2230,3600
Stealth Ship ,7.182716517111501,1747,3600
Black Swan ,7.4344613161111575,2128,3600
Argonautica ,7.916096165418661,1430,3600
Proteus  ,8.07530297176776,2026,3600
SS Britannic ,8.28652379572555,1631,3600
The Flying Wasp ,8.39735533821186,2654,3600
Argonautica ,8.458132035092511,2009,3600
USS Scotia  ,8.736097541385817,1980,3600
Rachel ,9.108753860022407,1953,3600
Q Boat ,9.553804897338585,2933,3600
Brandenburg ,9.866597415520337,1623,3600
SS Venture ,10.102612189586502,2900,3600
Orca ,10.28832771791884,2507,3600
Argo ,10.81081718133071,2724,3600
USS Pequod  ,10.881398263846126,1152,3600
USS Starfish ,11.259220371941817,2324,3600
