Name,Arrival Time,TEU,Waiting Cost
Yellow Submarine ,0.17,2564,4144
Q Boat ,0.37,2578,3645
SS Britannic ,0.46,1779,2804
Nautilus ,0.54,1048,4538
Albatross ,0.74,2120,2837
Starfish  ,0.85,2100,4306
Rachel ,0.97,1909,1264
HMS Interceptor ,1.17,1064,4749
The Inferno ,1.42,1167,1912
Black Pearl ,1.74,1847,2834
USS Aspen ,1.92,2310,4338
Immer Essen ,2.26,2035,2566
Red Witch ,2.47,2104,6029
USS Valhalla ,2.66,2050,3983
SS Minnow Johnson  ,2.84,2440,4039
SS Antonia Graza ,3.06,1977,3457
Red Dragon  ,3.17,1052,2203
The Flying Wasp ,3.33,1075,3511
SS Antonia Graza ,3.41,1507,3504
USS Montana ,3.69,1844,4000
Ghost ,3.86,2929,2758
Angelina  ,4.19,1248,3986
Acheron ,4.64,1291,2502
HMS Compass Rose ,4.72,1288,3471
St. Georges ,4.93,1087,2817
IJN Shinaru ,5.09,2109,2779
HMS Torrin ,5.33,2044,3294
HMS Sutherland ,5.54,1509,5661
HMS Sutherland ,5.67,2248,2780
USS Stingray  ,5.9,1705,5402
SS Chiku Shan ,6.09,1094,4362
Aeolus ,6.4,1413,4828
SS Venture ,6.53,1486,2296
HMS Shag at Sea  ,6.69,1886,5080
Gloria N ,6.84,1596,3542
Proteus  ,7.01,2403,1945
HMS Bedford ,7.36,2800,3416
Immer Essen ,7.53,1070,3842
USS Abraham Lincoln ,7.74,1079,2479
Yellow Submarine ,8.01,2782,3924
Yellow Submarine ,8.06,1000,4360
HMS Victoria ,8.19,2286,4203
SS Princess Irene,8.52,2992,2460
Ning-Po  ,8.68,2318,4875
Argonautica ,8.79,1470,3331
Argo ,9.18,1199,4123
Ning-Po  ,9.39,2367,4206
Brandenburg ,9.49,1998,4703
Disco Volante ,10.14,2361,4307
Glencairn ,10.21,2731,3229
