Name,Arrival Time,TEU,Waiting Cost
St. Georges ,0.29,1165,3437
The Inferno ,0.37,1473,4756
USS Reluctant ,1.06,2915,2691
USS Valhalla ,1.28,1026,4056
Glencairn ,1.56,2945,3663
HMS Endeavour ,1.79,2725,4637
SS Goliath ,2.38,1581,4277
Acheron ,2.79,2930,5628
HMS Venus ,3.91,1669,3752
HMS Compass Rose ,4.1,2659,3038
The Flying Wasp ,4.31,1937,3073
U-571  ,4.39,1853,3611
Rachel ,4.49,2102,3435
SS Venture ,4.58,1218,3405
SS Minnow Johnson  ,4.77,1901,3984
IJN Shinaru ,4.9,2383,3657
Aquanaut 3  ,5.2,2467,2931
USS Aspen ,5.48,1572,4360
SS Claridon ,5.68,2290,3242
Jenny  ,6.06,2363,2994
Q Boat ,6.14,2705,4810
SS Princess Irene,6.63,1099,4437
USS Haynes ,6.69,2683,4151
Amindra ,7.14,1530,2423
HMS Defiant ,7.38,1668,3515
Hai Peng ,7.59,1971,2672
USS Sawfish ,7.74,2522,3275
SSNR Seaview ,7.94,1883,3454
The Wanderer  ,8.03,1223,3317
Altair ,8.26,1833,3417
HMS Avenger ,8.31,2762,3658
St. Georges ,8.5,1088,2713
USS Tiger Shark ,8.83,1739,2636
Nautilus ,9.17,2764,3223
Nathan Ross ,9.4,2069,3186
USS San Pablo ,9.63,2299,2381
Jenny ,9.8,1670,3716
USS Stingray  ,10.15,1900,2881
The Henrietta  ,10.25,1091,4850
Orca ,10.51,2361,3035
Deep Quest  ,10.64,2962,2891
Arabella ,10.94,1581,3601
Amindra ,11.01,2464,3880
Angelina  ,11.13,2712,3205
USS Tigerfish ,11.27,1727,3634
Black Hawk ,11.43,2682,4147
SS Sea Witch ,12.22,1854,3757
Proteus  ,12.36,1966,3428
Geronimo ,12.55,1964,2347
USS Valhalla ,12.76,2992,4401
