Name,Arrival Time,TEU,Waiting Cost
Deep Quest  ,0.61,1020,4314
Brandenburg ,0.9,1278,2619
HMS Sutherland ,1.35,1967,2085
USS Poseidon ,1.51,1709,4272
USS Scotia  ,1.68,1638,2658
Geronimo ,1.77,1514,3019
Morning Star ,1.89,2117,3696
HMS Sutherland ,2.06,1693,2620
HMS Sutherland ,2.4,1196,3369
USS Haynes ,2.55,1905,3435
Benthic Explorer ,2.74,1449,2804
Yellow Submarine ,2.94,1769,3995
Belafonte ,3.36,2515,1917
Edinburgh Trader ,3.49,1232,4921
Elizabeth Dane ,3.89,2263,2555
Jenny  ,3.97,2449,3322
Patna ,4.13,1412,3316
Red Witch ,4.51,1676,2970
SS Claridon ,4.77,1662,3255
The Henrietta  ,5.07,1723,3248
Orca ,5.32,1578,2716
Geronimo ,5.52,2716,1739
USS Charleston  ,5.76,1500,3696
USS Abraham Lincoln ,6.01,1812,2519
Ulysses ,6.25,2054,3206
USS Sawfish ,6.59,1018,4642
HMS Sherwood  ,6.71,2151,5317
USS Sawfish ,6.79,2104,2920
The Inferno ,7.07,2460,3184
St. Georges ,7.23,2327,3486
Morning Star ,7.33,2513,4515
Orca ,7.61,2970,4198
Ning-Po  ,7.69,1474,5185
USS Haynes ,7.79,2445,5840
Geronimo ,8.02,2245,3946
HMS Endeavour ,8.19,1679,4034
HMS Sherwood  ,8.27,1242,2908
HMS Sea Tiger ,8.65,1746,4857
USS Charleston  ,9.07,1244,3462
HMS Viperess ,9.43,2821,3353
USS Intrepid ,9.68,1849,4197
Argo ,9.92,1049,5029
Sea Star ,10.04,1741,2439
Morning Star ,10.57,2673,4115
Aquanaut 3  ,10.9,2037,3208
Jenny  ,11.08,2752,4330
Edinburgh Trader ,11.18,2172,2331
USS Scotia  ,11.29,1785,3591
USS Haynes ,11.74,1978,4677
Hai Peng ,12.48,1343,3702
