Name,Arrival Time,TEU,Waiting Cost
Belafonte ,0.32,2816,3084
Jenny ,0.61,2579,5781
Pequod ,0.66,2422,3307
Pequod ,0.76,2650,4670
HMS Venus ,0.92,1750,3744
HMS Chester ,1.0,2194,3206
USS Tiger Shark ,1.2,2779,3254
Academic Vladislav Volkov ,1.53,1721,3698
USS Echo ,1.63,1084,4430
The Henrietta  ,2.06,1124,3745
USS Montana ,2.66,1744,3878
HMS Avenger ,3.09,1788,3570
Amindra ,3.4,1218,4860
Love Nest ,3.87,2288,4503
Rob Roy ,4.07,2612,2245
Sea Star ,4.23,2712,4015
Angelina  ,4.53,2581,2635
Black Swan ,4.68,1015,4218
The Flying Wasp ,4.75,1757,4087
Yellow Submarine ,5.26,2167,4975
Amindra ,5.63,1201,4305
Deep Quest  ,5.83,2302,3334
Stealth Ship ,5.92,1362,4101
USS Montana ,6.3,2309,2783
USS Belinda ,6.42,2004,3200
Aeolus ,6.66,2948,4187
SS Minnow Johnson  ,6.89,1902,5252
USS Haynes ,7.91,2490,2636
USS Tigerfish ,8.25,1645,4593
Argonautica ,8.56,1243,2422
USS Sea Tiger ,8.83,2863,3413
Red Dragon  ,9.08,2651,4177
Deep Quest  ,9.19,2632,1402
Brandenburg ,9.38,2954,3768
HMS Endeavour ,9.47,1759,1709
Sea Star ,9.77,2635,2785
HMS Endeavour ,10.04,1412,3431
Wonkatania ,10.37,2942,3989
Arabella ,10.66,2278,2162
Reaper  ,10.89,1432,4859
HMS Victoria ,11.05,2690,3181
SS Britannic ,11.24,2414,2739
HMS Sutherland ,11.64,1655,4764
Arabella ,11.75,2425,4765
Ulysses ,12.01,2096,2464
Hai Peng ,12.27,2801,2532
Yellow Submarine ,12.42,1730,4281
Gloria N ,12.62,2604,2935
Argonautica ,12.79,2093,3928
Pequod ,12.86,1520,4191
