Name,Arrival Time,TEU,Waiting Cost
USS Aspen ,0.1,2991,3067
USS Abraham Lincoln ,0.21,2975,3884
Love Nest ,0.28,2864,1767
Brandenburg ,0.6,2648,4368
Benthic Explorer ,0.64,2705,3117
Nathan Ross ,0.7,1734,3799
SS Minnow Johnson  ,1.03,2556,3391
Arabella ,1.11,1781,3683
MS Ergenstrasse ,1.23,2777,3921
Dulcibella ,1.38,1051,4193
Arabella ,1.62,1105,4217
USS Aspen ,1.8,2393,2570
SS Princess Irene,2.16,1211,3220
The Henrietta  ,2.28,1273,1261
Gloria N ,2.44,2584,5212
Red October ,2.56,1091,3784
Black Pearl ,3.07,2896,3311
USS Intrepid ,3.25,2974,1671
SS Essess  ,3.53,1561,3710
HMS Interceptor ,3.74,1339,4911
Flying Dutchman ,3.82,1717,3260
USS Copperfin ,4.7,1322,3994
Reaper  ,4.86,2069,2478
HMS Sherwood  ,4.96,1446,4402
Black Pearl ,5.22,2980,4925
Brandenburg ,5.54,2925,1177
Ning-Po  ,5.67,2340,3882
Ning-Po  ,5.75,2478,4106
USS Montana ,5.88,2238,3079
SS Goliath ,6.17,2002,3362
Proteus  ,6.63,2142,4057
Arabella ,6.72,1897,4597
Rachel ,6.95,2856,3796
The Wanderer  ,7.37,1721,5207
USS Aspen ,7.69,1478,3321
SS Britannic ,7.9,2904,4014
Nathan Ross ,8.13,1512,3791
HMS Sherwood  ,8.23,2688,4391
Aeolus ,8.43,2898,3437
Rights-of-Man ,8.61,1339,3368
USS Belinda ,8.87,2537,3926
Black Swan ,9.16,2827,848
Love Nest ,9.41,2983,5187
Proteus  ,9.58,2171,3986
HMS Defiant ,9.98,2822,3177
The Flying Wasp ,10.23,2477,3762
HMS Torrin ,10.51,2312,4895
Sea Cliff  ,10.61,2748,2003
SS Essess  ,10.88,1869,5067
Albatross ,11.03,1597,3718
