Name,Arrival Time,TEU,Waiting Cost
Black Hawk ,0.18,2944,2461
Immer Essen ,0.39,2885,4303
SS Sea Witch ,0.6,2948,4366
USS Dragonfish ,0.78,2621,2236
HMS Compass Rose ,0.94,1502,2248
Stealth Ship ,1.19,1345,4792
USS Charleston  ,1.35,1147,3738
Gloria N ,1.57,2028,4779
Ning-Po  ,1.62,2905,4876
The Flying Wasp ,1.88,2508,3533
USS Sawfish ,2.27,2553,2673
Red October ,2.71,2396,3548
USS Haynes ,2.81,2541,4050
Nathan Ross ,3.11,2179,2399
HMS Saltash Castle ,3.43,1954,3615
HMS Compass Rose ,3.54,2397,3027
USS Davies ,3.84,1604,4184
SS Minnow Johnson  ,4.26,2580,4316
USS Charleston  ,4.45,2585,3407
USS Dragonfish ,4.63,1445,2230
Starfish  ,4.82,2048,2545
SS Crescent Star,4.93,1732,3725
SS Chiku Shan ,5.41,1255,5037
HMS Sea Tiger ,5.67,1265,3950
HMS Compass Rose ,5.82,2714,4965
HMS Viperess ,6.0,1332,3318
USS San Pablo ,6.26,1829,4433
Rachel ,6.49,2661,4986
Red Dragon  ,6.61,1746,4985
Red Witch ,6.69,2046,2900
Sea Cliff  ,6.9,2310,5123
USS Dragonfish ,7.37,2215,2572
Acheron ,7.43,2973,4170
HMS Victoria ,7.64,2883,4275
Starfish  ,7.75,2699,4636
HMS Venus ,7.86,2230,1078
The Flying Wasp ,8.47,2136,3804
The Wanderer  ,9.25,2421,3724
Flying Dutchman ,9.46,1341,3000
HMS Interceptor ,10.0,2112,4599
Rights-of-Man ,10.09,2263,2828
Jenny  ,10.25,2526,3826
HMS Sherwood  ,10.66,2795,4919
Brandenburg ,10.77,2978,4597
Arabella ,11.11,2378,3230
SS Chiku Shan ,11.17,2292,3601
Love Nest ,11.53,1140,4044
Red Witch ,13.12,2401,3714
Poseidon ,13.55,1627,3618
Dulcibella ,13.73,2984,4610
