Name,Arrival Time,TEU,Waiting Cost
HMS Venus ,0.07,1175,3352
USS Echo ,0.57,2425,3048
HMS Devonshire ,0.72,2185,3615
Patna ,1.05,2317,3850
Dulcibella ,1.13,1465,3443
Dulcibella ,1.38,1579,5309
Proteus  ,1.54,2548,4442
USS Abraham Lincoln ,1.61,2905,5751
USS Haynes ,1.88,1498,4114
Black Hawk ,2.38,2698,3125
USS Aspen ,2.51,2434,4414
USS Bedford ,2.67,2659,4808
The Wanderer  ,3.34,1358,2608
USS Belinda ,3.62,2113,2676
USS Tigerfish ,4.03,1182,2993
USS Echo ,4.24,2628,5083
SS Crescent Star,4.55,1387,3077
Jenny ,5.0,1021,3755
Black Hawk ,5.11,2538,3436
The Inferno ,5.28,2163,3563
USS Sawfish ,5.53,1328,4270
Altair ,5.68,1327,4634
USS Stingray  ,5.73,1094,2787
USS Montana ,5.79,2347,4572
Morning Star ,5.98,2511,3220
Sea Star ,6.15,2920,2699
Jenny  ,6.39,1781,1832
SS Sea Witch ,6.7,2072,4427
USS Tiger Shark ,6.84,2750,3662
Red Dragon  ,7.1,2093,3700
USS Caine ,7.21,2054,3887
HMS Torrin ,7.31,2605,3009
Sea Star ,7.38,2514,4516
USS Lansing ,7.46,1134,2514
The Inferno ,7.74,1566,3506
USS Caine ,8.01,2184,2563
Edinburgh Trader ,8.11,1245,4845
Liparus ,8.49,2887,3687
SS Antonia Graza ,8.67,1197,3332
Academic Vladislav Volkov ,8.78,2647,4571
Rob Roy ,9.06,2685,2758
HMS Shag at Sea  ,9.21,1063,3328
USS Caine ,9.41,1764,4195
SSN Ulysses ,9.56,2378,4219
HMS Lydia ,9.81,1624,3369
Arabella ,10.13,2936,3158
Nathan Ross ,10.24,1812,4728
Dulcibella ,10.49,2374,4255
USS Lansing ,10.59,2949,3690
USS Scotia  ,10.65,2097,4076
