Name,Arrival Time,TEU,Waiting Cost
USS Dragonfish ,0.3,2193,2730
USS Copperfin ,0.58,1292,3128
Aquanaut 3  ,0.71,2996,3492
HMS Bedford ,0.92,2158,3909
Belafonte ,1.21,2166,3263
Argo ,1.51,2290,2956
Liparus ,2.15,1994,3758
USS Intrepid ,2.34,1037,3646
Rachel ,2.56,1703,3167
Jenny ,2.77,2894,3422
Patna ,3.13,2860,3850
USS Sawfish ,3.25,1483,3745
HMS Torrin ,3.54,2143,3581
HMS Endeavour ,3.72,1037,4122
Hai Peng ,4.01,2807,3595
Morning Star ,4.39,1672,3360
SS Crescent Star,4.83,1163,3829
HMS Defiant ,5.0,2492,3933
Jenny  ,5.48,1637,4271
Argonautica ,5.7,2648,3575
Saracen ,5.87,1957,3871
USS Pequod  ,5.98,2959,3444
USS San Pablo ,6.19,1500,3430
Empress ,6.43,1003,3694
St. Georges ,6.53,1276,3768
U-571  ,6.91,1830,3199
HMS Venus ,7.26,1652,3912
African Queen ,7.39,1521,3692
Rachel ,7.74,1547,3457
Starfish  ,8.15,2304,3037
Love Nest ,8.24,2433,2869
SS Venture ,8.73,1975,3425
USS Reluctant ,9.12,2152,3191
Aeolus ,9.25,1794,3184
Flying Dutchman ,9.43,1954,3342
HMS Defiant ,9.64,2083,3330
Hahnchen Maru ,9.9,2176,3534
Jenny ,10.11,1456,3561
HMS Bedford ,10.27,1909,4123
HMS Devonshire ,10.72,2369,3259
USS Davies ,10.79,2046,3772
Reaper  ,10.96,2809,3394
HMS Interceptor ,11.17,2528,4025
Altair ,11.25,1387,3113
Liparus ,11.48,1498,3710
USS Haynes ,11.82,2943,3520
Yellow Submarine ,12.13,2342,4115
Brandenburg ,12.77,2836,3388
Acheron ,13.01,2645,3033
U-571  ,13.87,2743,3310
