Name,Arrival Time,TEU,Waiting Cost
Yellow Submarine ,0.17,2564,3644
Q Boat ,0.37,2578,3537
SS Britannic ,0.46,1779,3486
Nautilus ,0.54,1048,4346
Albatross ,0.74,2120,4309
Starfish  ,0.85,2100,3667
Rachel ,0.97,1909,3643
HMS Interceptor ,1.17,1064,3527
The Inferno ,1.42,1167,3782
Black Pearl ,1.74,1847,3819
USS Aspen ,1.92,2310,3723
Immer Essen ,2.26,2035,3592
Red Witch ,2.47,2104,3934
USS Valhalla ,2.66,2050,4202
SS Minnow Johnson  ,2.84,2440,4183
SS Antonia Graza ,3.06,1977,3574
Red Dragon  ,3.17,1052,3104
The Flying Wasp ,3.33,1075,4256
SS Antonia Graza ,3.41,1507,3041
USS Montana ,3.69,1844,4054
Ghost ,3.86,2929,4312
Angelina  ,4.19,1248,4079
Acheron ,4.64,1291,3978
HMS Compass Rose ,4.72,1288,3928
St. Georges ,4.93,1087,3359
IJN Shinaru ,5.09,2109,3129
HMS Torrin ,5.33,2044,3697
HMS Sutherland ,5.54,1509,4213
HMS Sutherland ,5.67,2248,3683
USS Stingray  ,5.9,1705,3179
SS Chiku Shan ,6.09,1094,3776
Aeolus ,6.4,1413,3454
SS Venture ,6.53,1486,3180
HMS Shag at Sea  ,6.69,1886,3432
Gloria N ,6.84,1596,3286
Proteus  ,7.01,2403,3553
HMS Bedford ,7.36,2800,4126
Immer Essen ,7.53,1070,3504
USS Abraham Lincoln ,7.74,1079,4143
Yellow Submarine ,8.01,2782,3554
Yellow Submarine ,8.06,1000,3014
HMS Victoria ,8.19,2286,3897
SS Princess Irene,8.52,2992,3651
Ning-Po  ,8.68,2318,3037
Argonautica ,8.79,1470,3870
Argo ,9.18,1199,4056
Ning-Po  ,9.39,2367,3939
Brandenburg ,9.49,1998,3329
Disco Volante ,10.14,2361,3498
Glencairn ,10.21,2731,3579
