Name,Arrival Time,TEU,Waiting Cost
Ghost ,0.29,2420,3687
HMS Solent  ,0.39,2871,3567
USS Davies ,0.66,2078,3381
Amindra ,0.95,1874,3305
Love Nest ,1.14,1617,3445
USS Thunderfish ,1.3,1584,3014
Rachel ,1.5,1971,3189
HMS Saltash Castle ,1.77,2187,2979
USS Tiger Shark ,2.1,1986,3748
SSNR Seaview ,2.16,2594,3264
SS Princess Irene,2.5,2238,3954
The Flying Wasp ,2.8,1676,3596
Black Swan ,3.21,1727,3804
Saracen ,3.38,1377,3890
Edinburgh Trader ,3.73,1209,3131
U-571  ,3.92,1838,3548
USS Dragonfish ,4.33,1135,3840
USS Pequod  ,4.47,1849,3286
Deep Quest  ,4.82,1446,3280
Nathan Ross ,4.96,2876,3100
HMS Sutherland ,5.02,2477,3897
Angelina  ,5.58,1171,3757
Argo ,5.68,2829,3396
Pequod ,5.8,2583,3585
Red Dragon  ,6.18,1512,4169
USS Sawfish ,6.27,2838,3266
Morning Star ,6.58,2475,3316
Black Swan ,6.83,1171,3259
Gloria N ,6.97,1855,3376
Empress ,7.12,1720,3495
Hahnchen Maru ,7.44,1323,3482
SSNR Seaview ,8.18,2169,3434
SS Venture ,8.35,2978,3760
Disco Volante ,8.68,2760,3680
Rachel ,8.9,2622,3438
Nathan Ross ,9.05,2350,3408
Argo ,9.49,2208,3998
Elizabeth Dane ,9.69,1087,3023
Angelina  ,9.84,1716,3900
Mary Deare ,10.24,1896,3399
Wonkatania ,10.43,1802,3636
USS Haynes ,10.64,2581,3961
HMS Nereid  ,10.93,2503,3272
HMS Interceptor ,11.04,2123,2973
African Queen ,11.13,2788,3160
Brandenburg ,11.74,1186,3386
Reaper  ,11.84,1949,3369
USS Copperfin ,11.93,2919,3419
HMS Viperess ,12.08,2893,3426
Rights-of-Man ,12.41,1007,3300
