Name,Arrival Time,TEU,Waiting Cost
HMS Nereid  ,0.17,1680,3670
Rachel ,0.28,2138,3978
Brandenburg ,0.51,2923,3671
Mary Deare ,0.85,1145,3909
Rights-of-Man ,1.33,2988,4158
Sea Star ,1.53,2919,3566
Wonkatania ,1.64,1552,3734
Belafonte ,1.8,2122,4016
Morning Star ,2.12,1052,3521
Wonkatania ,2.34,1904,3018
USS Davies ,2.64,1312,3526
SS Chiku Shan ,2.96,2937,3720
Love Nest ,3.17,1392,3112
Patna ,3.35,2603,3662
Gloria N ,3.52,2666,2995
Immer Essen ,3.71,2278,3371
USS Oakland ,3.88,2458,4146
USS San Pablo ,3.97,2618,4002
HMS Endeavour ,4.23,1619,3647
USS Echo ,4.33,1065,3391
HMS Compass Rose ,4.42,1274,3597
USS Sawfish ,4.8,1757,3682
Albatross ,4.9,1011,3293
SS Venture ,5.27,1955,3346
U-571  ,5.53,2595,3637
Sea Star ,5.7,2765,3084
Liparus ,6.38,2956,3823
HMS Victoria ,6.93,1201,3122
USS Intrepid ,7.12,2920,4173
Argo ,7.35,1391,3894
Brandenburg ,7.64,2122,3189
HMS Sea Tiger ,7.87,1644,3383
SS Chiku Shan ,8.01,1627,4095
USS Sea Tiger ,8.27,2537,2868
SSN Ulysses ,8.66,1160,3439
USS San Pablo ,9.39,2766,3239
Elizabeth Dane ,9.82,2295,3329
Empress ,9.94,2572,3975
Disco Volante ,10.13,1024,3464
Reaper  ,10.23,1639,3810
USS Abraham Lincoln ,10.41,1641,3678
HMS Avenger ,10.71,1787,3751
Q Boat ,11.03,1186,3512
USS Stingray  ,11.31,1321,3613
Reaper  ,11.53,2728,3607
Proteus  ,11.63,1172,4043
SS Minnow Johnson  ,11.79,2543,3405
Morning Star ,12.11,2987,4069
Batavia Queen ,12.33,2215,3295
USS Copperfin ,12.45,2656,3288
