Name,Arrival Time,TEU,Waiting Cost
Nathan Ross ,0.32,1166,3745
HMS Endeavour ,0.57,1368,3692
SSN Ulysses ,1.02,1671,3134
USS Tigerfish ,1.2,1806,3298
USS Charleston  ,1.4,1644,3769
HMS Victoria ,1.65,1264,3530
Sea Cliff  ,2.08,2142,3730
Patna ,2.29,1688,3528
Amindra ,2.6,1738,3937
Amindra ,2.93,2516,4000
Amindra ,3.11,1316,3515
Rights-of-Man ,3.44,1667,3747
USS Dragonfish ,3.62,1383,3781
SS Sea Witch ,3.85,1387,3909
Orca ,3.98,1526,4058
Hai Peng ,4.45,1416,4088
Ghost ,4.88,2630,3471
SS Antonia Graza ,5.06,1518,3815
USS Sea Tiger ,5.2,2179,3408
SS Venture ,5.58,1933,4008
HMS Sutherland ,5.81,2274,3417
USS Davies ,6.01,1455,3352
HMS Torrin ,6.45,1833,3712
Stealth Ship ,6.61,1068,3185
Caledonia II  ,6.82,1951,3646
USS Stingray  ,7.25,1474,3658
Black Pearl ,7.39,1933,3634
SS Antonia Graza ,7.5,1896,4111
USS Reluctant ,7.93,1244,3451
Wonkatania ,8.32,1784,3774
Argonautica ,8.89,1676,3858
Benthic Explorer ,9.03,1242,3415
HMS Torrin ,9.5,1346,3045
Nautilus ,9.65,2543,3095
USS Aspen ,9.84,1684,3677
USS Aspen ,10.01,1477,3266
HMS Saltash Castle ,10.2,2175,4398
Wonkatania ,10.39,1514,3907
Altair ,10.6,1953,3754
USS Oakland ,10.74,1285,3236
Geronimo ,10.87,1841,3502
Rachel ,11.05,2747,3317
Rachel ,11.22,1098,3503
Argo ,11.36,1312,3611
Morning Star ,11.51,2941,3536
USS San Pablo ,11.99,1763,3519
USS Haynes ,12.13,1435,3098
Disco Volante ,12.52,2048,3823
HMS Chester ,12.66,2268,3590
SS Crescent Star,12.85,1713,3520
