Name,Arrival Time,TEU,Waiting Cost
SSN Ulysses ,0.13,1740,3076
Caledonia II  ,0.19,1337,4371
Mary Deare ,0.43,1044,3900
HMS Solent  ,0.9,1295,3309
Pequod ,1.31,2563,3794
SS Claridon ,1.81,1482,3611
Hahnchen Maru ,2.1,2392,3785
Amindra ,2.28,1738,3487
USS Aspen ,2.38,2299,3956
HMS Sutherland ,2.48,2375,3127
USS San Pablo ,2.65,2597,3892
HMS Torrin ,2.83,1099,3604
Morning Star ,3.12,1441,3022
Patna ,3.28,1536,3474
HMS Defiant ,3.37,1039,3604
The Wanderer  ,3.55,2630,3599
Batavia Queen ,3.88,1556,3796
Nathan Ross ,4.5,1510,3681
Argo ,4.72,1374,3714
Starfish  ,4.9,1361,3489
Glencairn ,5.24,2717,4459
SS Minnow Johnson  ,5.42,1234,4109
SSN Ulysses ,5.72,2162,3499
IJN Shinaru ,5.87,2686,4003
HMS Interceptor ,6.06,2587,3024
HMS Chester ,6.35,2767,3319
Aquanaut 3  ,6.5,1130,3319
Hahnchen Maru ,6.65,1966,3551
HMS Interceptor ,6.77,2937,3566
USS Pequod  ,7.04,2560,3729
Rights-of-Man ,7.28,2031,3413
Altair ,7.33,1324,3617
Wonkatania ,7.81,1551,4002
Hahnchen Maru ,7.9,1882,3741
SSN Ulysses ,8.19,1211,3364
Pequod ,8.64,1462,2870
Wonkatania ,8.83,1077,3648
USS Scotia  ,9.2,2458,3798
U-571  ,9.45,2115,3927
The Henrietta  ,9.57,2692,3256
Q Boat ,9.7,1557,3403
HMS Avenger ,10.08,2675,3635
Stealth Ship ,10.23,1817,3794
HMS Bedford ,10.49,2212,3689
SS Venture ,10.71,2518,3946
Q Boat ,10.85,2903,3884
Ulysses ,11.33,2879,3189
The Wanderer  ,12.02,1888,4035
Jenny  ,12.21,1447,3914
USS Tigerfish ,12.33,2356,3979
