Name,Arrival Time,TEU,Waiting Cost
USS Charleston  ,0.33,2223,3600
HMS Sea Tiger ,0.47,2900,3600
Deep Quest  ,0.93,1273,3600
Red Dragon  ,1.25,2824,3600
Starfish  ,1.4,2242,3600
SS Andes ,1.69,1061,3600
USS Caine ,1.75,2231,3600
USS Caine ,2.08,2317,3600
USS Lansing ,2.16,1355,3600
Nautilus ,2.42,1703,3600
Yellow Submarine ,2.58,2236,3600
HMS Devonshire ,2.69,2207,3600
USS Copperfin ,2.8,2748,3600
SS Claridon ,3.0,1964,3600
HMS Chester ,3.08,1112,3600
Acheron ,3.5,1942,3600
Q Boat ,3.73,2218,3600
HMS Compass Rose ,4.05,1195,3600
Orca ,4.35,1671,3600
Starfish  ,4.5,2741,3600
USS Scotia  ,4.87,1083,3600
Black Swan ,5.08,2544,3600
U-571  ,5.16,2737,3600
USS San Pablo ,5.43,1740,3600
Saracen ,5.74,2980,3600
SS Britannic ,6.02,2455,3600
Jenny ,6.33,2459,3600
SS Andes ,6.63,1899,3600
Acheron ,6.95,2984,3600
Altair ,7.12,2478,3600
Ning-Po  ,7.26,2490,3600
HMS Chester ,7.4,1910,3600
Immer Essen ,7.48,2666,3600
Acheron ,7.8,1626,3600
Orca ,8.15,1252,3600
USS Reluctant ,8.78,2530,3600
SS Princess Irene,10.42,1952,3600
HMS Chester ,10.63,2178,3600
Black Pearl ,10.8,1735,3600
USS Aspen ,11.05,2210,3600
HMS Solent  ,11.2,1401,3600
Altair ,11.41,1857,3600
SS Essess  ,11.53,2974,3600
Angelina  ,11.83,2958,3600
Aquanaut 3  ,12.1,1894,3600
Poseidon ,12.41,2987,3600
Immer Essen ,12.52,2118,3600
Ning-Po  ,12.77,2654,3600
Aquanaut 3  ,13.14,2379,3600
Morning Star ,13.34,1942,3600
