Name,Arrival Time,TEU,Waiting Cost
Jenny ,0.14,1340,3600
Love Nest ,0.46,2197,3600
SSN Ulysses ,0.8,2650,3600
Stealth Ship ,1.03,1221,3600
Q Boat ,1.41,1853,3600
HMS Shag at Sea  ,1.49,2024,3600
Rights-of-Man ,1.67,2605,3600
Black Pearl ,1.85,2401,3600
Amindra ,1.96,1069,3600
Yellow Submarine ,2.13,1998,3600
Orca ,2.17,1764,3600
Stealth Ship ,2.41,2542,3600
USS Aspen ,2.6,1931,3600
Stealth Ship ,2.8,2512,3600
Morning Star ,3.26,1986,3600
Q Boat ,3.56,2492,3600
Gloria N ,3.7,2068,3600
HMS Avenger ,4.01,1211,3600
HMS Chester ,4.21,2545,3600
Aquanaut 3  ,4.87,2948,3600
IJN Shinaru ,4.96,1274,3600
Albatross ,5.2,1122,3600
USS Montana ,5.56,2218,3600
Black Swan ,5.65,2350,3600
USS Valhalla ,5.89,2774,3600
HMS Interceptor ,6.18,2262,3600
Altair ,6.3,1774,3600
SS Happy Wanderer ,6.72,1321,3600
Liparus ,6.92,1930,3600
Amindra ,7.05,2648,3600
HMS Devonshire ,7.46,1178,3600
HMS Sea Tiger ,7.54,2416,3600
Turtle  ,7.68,2618,3600
The Flying Wasp ,7.81,2448,3600
Starfish  ,8.14,2334,3600
Morning Star ,8.19,2611,3600
Hahnchen Maru ,8.33,1319,3600
USS Aspen ,8.38,2752,3600
USS Haynes ,8.74,1093,3600
SS Antonia Graza ,9.04,2232,3600
Love Nest ,9.22,1102,3600
USS Belinda ,9.49,1486,3600
African Queen ,9.58,1211,3600
St. Georges ,9.68,1274,3600
Elizabeth Dane ,9.78,1734,3600
Ulysses ,9.95,2377,3600
USS Dragonfish ,10.04,1922,3600
HMS Saltash Castle ,10.15,2701,3600
HMS Sherwood  ,10.3,2552,3600
SSN Ulysses ,10.49,1707,3600
