Name,Arrival Time,TEU,Waiting Cost
USS Dragonfish ,0.3,2193,3600
USS Copperfin ,0.58,1292,3600
Aquanaut 3  ,0.71,2996,3600
HMS Bedford ,0.92,2158,3600
Belafonte ,1.21,2166,3600
Argo ,1.51,2290,3600
Liparus ,2.15,1994,3600
USS Intrepid ,2.34,1037,3600
Rachel ,2.56,1703,3600
Jenny ,2.77,2894,3600
Patna ,3.13,2860,3600
USS Sawfish ,3.25,1483,3600
HMS Torrin ,3.54,2143,3600
HMS Endeavour ,3.72,1037,3600
Hai Peng ,4.01,2807,3600
Morning Star ,4.39,1672,3600
SS Crescent Star,4.83,1163,3600
HMS Defiant ,5.0,2492,3600
Jenny  ,5.48,1637,3600
Argonautica ,5.7,2648,3600
Saracen ,5.87,1957,3600
USS Pequod  ,5.98,2959,3600
USS San Pablo ,6.19,1500,3600
Empress ,6.43,1003,3600
St. Georges ,6.53,1276,3600
U-571  ,6.91,1830,3600
HMS Venus ,7.26,1652,3600
African Queen ,7.39,1521,3600
Rachel ,7.74,1547,3600
Starfish  ,8.15,2304,3600
Love Nest ,8.24,2433,3600
SS Venture ,8.73,1975,3600
USS Reluctant ,9.12,2152,3600
Aeolus ,9.25,1794,3600
Flying Dutchman ,9.43,1954,3600
HMS Defiant ,9.64,2083,3600
Hahnchen Maru ,9.9,2176,3600
Jenny ,10.11,1456,3600
HMS Bedford ,10.27,1909,3600
HMS Devonshire ,10.72,2369,3600
USS Davies ,10.79,2046,3600
Reaper  ,10.96,2809,3600
HMS Interceptor ,11.17,2528,3600
Altair ,11.25,1387,3600
Liparus ,11.48,1498,3600
USS Haynes ,11.82,2943,3600
Yellow Submarine ,12.13,2342,3600
Brandenburg ,12.77,2836,3600
Acheron ,13.01,2645,3600
U-571  ,13.87,2743,3600
