Name,Arrival Time,TEU,Waiting Cost
SSN Ulysses ,0.33,2620,3600
HMS Nereid  ,0.41,2982,3600
Nautilus ,0.72,2277,3600
USS Tigerfish ,0.79,1966,3600
Starfish  ,0.94,2214,3600
SS Goliath ,1.14,2012,3600
Academic Vladislav Volkov ,1.53,2789,3600
Rob Roy ,1.78,2651,3600
Rachel ,2.05,2145,3600
HMS Nereid  ,2.23,1455,3600
SS Chiku Shan ,2.56,2926,3600
Belafonte ,2.87,2009,3600
Disco Volante ,3.08,1071,3600
Immer Essen ,3.35,2187,3600
Belafonte ,3.51,2786,3600
Amindra ,3.74,2703,3600
Morning Star ,3.96,2784,3600
Aeolus ,4.74,1374,3600
Sea Star ,4.86,2926,3600
The Flying Wasp ,4.98,1218,3600
Amindra ,5.32,2641,3600
Geronimo ,5.92,1160,3600
Red October ,6.07,2484,3600
SS Sea Witch ,6.57,2006,3600
Yellow Submarine ,6.86,2706,3600
SS Minnow Johnson  ,6.97,1268,3600
HMS Compass Rose ,7.09,1707,3600
The Henrietta  ,7.31,1932,3600
Starfish  ,7.45,2379,3600
Q Boat ,7.66,1155,3600
The Inferno ,7.81,2592,3600
Angelina  ,8.0,1128,3600
St. Georges ,8.13,2362,3600
Nathan Ross ,8.35,2182,3600
Brandenburg ,8.6,2834,3600
USS Reluctant ,8.87,1908,3600
Dulcibella ,9.7,2002,3600
HMS Lydia ,9.96,1203,3600
Yellow Submarine ,10.65,2680,3600
Argo ,10.78,1800,3600
USS Sea Tiger ,11.01,2774,3600
Aeolus ,11.18,1977,3600
Nathan Ross ,11.34,1747,3600
Argo ,11.5,2122,3600
HMS Sea Tiger ,11.58,1114,3600
HMS Sherwood  ,11.78,2790,3600
HMS Sherwood  ,11.99,1210,3600
Arabella ,12.56,2211,3600
Mary Deare ,12.92,2206,3600
HMS Avenger ,13.16,1617,3600
