Ship 1 arrival time,Ship 1 teu,Ship 1 waiting cost,Ship 2 arrival time,Ship 2 teu,Ship 2 waiting cost,Ship 3 arrival time,Ship 3 teu,Ship 3 waiting cost,Ship 4 arrival time,Ship 4 teu,Ship 4 waiting cost,Ship 5 arrival time,Ship 5 teu,Ship 5 waiting cost,U,V 0,V 1,X 0,X 1
0.1333165039676078,1708,3542,0.3420315667231625,2283,3174,0.4515032644786594,1462,3253,0.5666245233454461,1465,3595,0.8489597815961067,2000,3790,0,6,1,0.0,0.0
0.3420315667231625,2283,3174,0.4515032644786594,1462,3253,0.5666245233454461,1465,3595,0.8489597815961067,2000,3790,1.449689390821129,2323,3675,1,1,6,0.7266498373009411,0.0
0.3420315667231625,2283,3174,0.5666245233454461,1465,3595,0.8489597815961067,2000,3790,1.449689390821129,2323,3675,1.8611329359857731,2423,3300,1,2,5,3.693316503967608,0.9598365978119927
0.3420315667231625,2283,3174,0.8489597815961067,2000,3790,1.449689390821129,2323,3675,1.8611329359857731,2423,3300,2.0161127238372547,1699,3766,1,2,5,1.9133165039676079,1.5698365978119928
0.3420315667231625,2283,3174,1.449689390821129,2323,3675,1.8611329359857731,2423,3300,2.0161127238372547,1699,3766,2.1863588772865272,2936,3374,1,5,2,1.9133165039676079,2.403836597811993
0.3420315667231625,2283,3174,1.8611329359857731,2423,3300,2.0161127238372547,1699,3766,2.1863588772865272,2936,3374,2.3395211347972973,1740,3165,2,5,2,2.881316503967608,3.6548365978119928
0.3420315667231625,2283,3174,1.8611329359857731,2423,3300,2.1863588772865272,2936,3374,2.3395211347972973,1740,3165,2.7974162669093547,1787,3863,4,5,2,3.5893165039676083,3.6548365978119928
0.3420315667231625,2283,3174,1.8611329359857731,2423,3300,2.1863588772865272,2936,3374,2.3395211347972973,1740,3165,3.058831991799912,1266,3983,4,1,6,4.333316503967608,3.6548365978119928
0.3420315667231625,2283,3174,1.8611329359857731,2423,3300,2.1863588772865272,2936,3374,2.3395211347972973,1740,3165,3.6095903725742353,1072,3237,4,1,6,7.309316503967608,4.094836597811993
0.3420315667231625,2283,3174,1.8611329359857731,2423,3300,2.1863588772865272,2936,3374,2.3395211347972973,1740,3165,3.970659659363224,2822,3725,3,2,5,7.309316503967608,4.46650326447866
0.3420315667231625,2283,3174,1.8611329359857731,2423,3300,2.1863588772865272,2936,3374,3.970659659363224,2822,3725,4.164784196281532,2195,3957,4,2,5,5.7020765508898,5.19050326447866
0.3420315667231625,2283,3174,1.8611329359857731,2423,3300,2.1863588772865272,2936,3374,3.970659659363224,2822,3725,4.381224456774726,2009,3379,4,5,2,5.7020765508898,6.10450326447866
0.3420315667231625,2283,3174,1.8611329359857731,2423,3300,2.1863588772865272,2936,3374,3.970659659363224,2822,3725,4.819864190731731,2587,3584,4,5,2,6.5400765508898004,7.47550326447866
0.3420315667231625,2283,3174,1.8611329359857731,2423,3300,2.1863588772865272,2936,3374,3.970659659363224,2822,3725,5.118483497170747,1207,3875,4,2,5,7.6180765508898,7.47550326447866
