Current V 0,Current V 1,Ship 1 arrival time,Ship 1 teu,Ship 1 waiting cost,Ship 2 arrival time,Ship 2 teu,Ship 2 waiting cost,Ship 3 arrival time,Ship 3 teu,Ship 3 waiting cost,Ship 4 arrival time,Ship 4 teu,Ship 4 waiting cost,Ship 5 arrival time,Ship 5 teu,Ship 5 waiting cost,Ship 6 arrival time,Ship 6 teu,Ship 6 waiting cost,U,V 0,V 1,y 0,y 1
1,1,0.31,1445,3600,0.79,2584,3600,1.36,1798,3600,1.54,2332,3600,1.67,2548,3600,0,0,0,0,5,2,0.0,0.0
5,2,0.79,2584,3600,1.36,1798,3600,1.54,2332,3600,1.67,2548,3600,1.8,1850,3600,0,0,0,1,6,1,4.56,0.0
6,1,0.79,2584,3600,1.54,2332,3600,1.67,2548,3600,1.8,1850,3600,2.08,1921,3600,0,0,0,0,3,4,0.0,4.298333333333334
3,4,1.54,2332,3600,1.67,2548,3600,1.8,1850,3600,2.08,1921,3600,2.14,1571,3600,0,0,0,4,2,5,0.9224999999999977,0.0
2,5,1.54,2332,3600,1.67,2548,3600,1.8,1850,3600,2.08,1921,3600,2.25,2961,3600,0,0,0,2,2,5,1.1003333333333325,0.0
2,5,1.54,2332,3600,1.67,2548,3600,2.08,1921,3600,2.25,2961,3600,2.35,1909,3600,0,0,0,4,5,2,0.0,1.0991666666666688
5,2,1.54,2332,3600,1.67,2548,3600,2.08,1921,3600,2.25,2961,3600,2.68,1518,3600,0,0,0,4,5,2,0.0,1.1576666666666675
5,2,1.54,2332,3600,1.67,2548,3600,2.08,1921,3600,2.25,2961,3600,3.08,1014,3600,0,0,0,0,5,2,0.2658333333333296,0.0
5,2,1.67,2548,3600,2.08,1921,3600,2.25,2961,3600,3.08,1014,3600,3.45,1519,3600,0,0,0,3,4,3,0.0,4.753666666666668
4,3,1.67,2548,3600,2.08,1921,3600,2.25,2961,3600,3.45,1519,3600,3.69,1030,3600,0,0,0,4,6,1,0.0,3.118000000000003
6,1,1.67,2548,3600,2.08,1921,3600,2.25,2961,3600,3.45,1519,3600,3.94,2091,3600,0,0,0,3,1,6,0.0,3.8146666666666684
1,6,1.67,2548,3600,2.08,1921,3600,2.25,2961,3600,3.94,2091,3600,4.15,2674,3600,0,0,0,1,2,5,2.8228333333333335,0.0
2,5,1.67,2548,3600,2.25,2961,3600,3.94,2091,3600,4.15,2674,3600,4.27,2046,3600,0,0,0,4,2,5,0.8856666666666655,0.0
2,5,1.67,2548,3600,2.25,2961,3600,3.94,2091,3600,4.15,2674,3600,4.61,2392,3600,0,0,0,2,5,2,0.0,2.045833333333338
5,2,1.67,2548,3600,2.25,2961,3600,4.15,2674,3600,4.61,2392,3600,4.74,1999,3600,0,0,0,4,5,2,0.0,1.6303333333333327
5,2,1.67,2548,3600,2.25,2961,3600,4.15,2674,3600,4.61,2392,3600,4.9,2030,3600,0,0,0,4,3,4,0.08416666666667183,0.0
3,4,1.67,2548,3600,2.25,2961,3600,4.15,2674,3600,4.61,2392,3600,5.0,1694,3600,0,0,0,4,5,2,0.0,1.9439999999999955
5,2,1.67,2548,3600,2.25,2961,3600,4.15,2674,3600,4.61,2392,3600,5.32,2848,3600,0,0,0,3,5,2,0.0,1.6750000000000007
5,2,1.67,2548,3600,2.25,2961,3600,4.15,2674,3600,5.32,2848,3600,5.44,2697,3600,0,0,0,0,3,4,0.7925000000000004,0.0
3,4,2.25,2961,3600,4.15,2674,3600,5.32,2848,3600,5.44,2697,3600,5.85,2447,3600,0,0,0,4,5,2,0.0,2.020000000000003
5,2,2.25,2961,3600,4.15,2674,3600,5.32,2848,3600,5.44,2697,3600,6.27,2244,3600,0,0,0,4,5,2,0.0,1.625
5,2,2.25,2961,3600,4.15,2674,3600,5.32,2848,3600,5.44,2697,3600,6.74,2429,3600,0,0,0,4,2,5,0.6174999999999997,0.0
2,5,2.25,2961,3600,4.15,2674,3600,5.32,2848,3600,5.44,2697,3600,7.33,1933,3600,0,0,0,4,2,5,1.0309999999999988,0.0
2,5,2.25,2961,3600,4.15,2674,3600,5.32,2848,3600,5.44,2697,3600,7.82,1789,3600,0,0,0,4,5,2,0.0,1.4524999999999988
5,2,2.25,2961,3600,4.15,2674,3600,5.32,2848,3600,5.44,2697,3600,7.99,2128,3600,0,0,0,4,5,2,0.0,1.506999999999998
5,2,2.25,2961,3600,4.15,2674,3600,5.32,2848,3600,5.44,2697,3600,8.12,1293,3600,0,0,0,4,2,5,0.6625000000000014,0.0
2,5,2.25,2961,3600,4.15,2674,3600,5.32,2848,3600,5.44,2697,3600,8.67,2747,3600,0,0,0,1,2,5,1.8470000000000013,0.0
2,5,2.25,2961,3600,5.32,2848,3600,5.44,2697,3600,8.67,2747,3600,9.35,2778,3600,0,0,0,2,4,3,0.0,0.9525000000000006
4,3,2.25,2961,3600,5.32,2848,3600,8.67,2747,3600,9.35,2778,3600,9.43,2462,3600,0,0,0,4,2,5,1.8873333333333449,0.0
2,5,2.25,2961,3600,5.32,2848,3600,8.67,2747,3600,9.35,2778,3600,9.66,1833,3600,0,0,0,4,2,5,1.701666666666668,0.0
2,5,2.25,2961,3600,5.32,2848,3600,8.67,2747,3600,9.35,2778,3600,9.84,2988,3600,0,0,0,3,4,3,0.1736666666666693,0.0
4,3,2.25,2961,3600,5.32,2848,3600,8.67,2747,3600,9.84,2988,3600,10.1,1665,3600,0,0,0,4,4,3,0.0,6.805749999999996
4,3,2.25,2961,3600,5.32,2848,3600,8.67,2747,3600,9.84,2988,3600,10.41,2852,3600,0,0,0,2,6,1,0.0,4.203249999999997
6,1,2.25,2961,3600,5.32,2848,3600,9.84,2988,3600,10.41,2852,3600,10.68,2007,3600,0,0,0,4,1,6,0.0,4.307749999999999
1,6,2.25,2961,3600,5.32,2848,3600,9.84,2988,3600,10.41,2852,3600,10.93,2323,3600,0,0,0,4,1,6,4.256486111111112,0.0
1,6,2.25,2961,3600,5.32,2848,3600,9.84,2988,3600,10.41,2852,3600,10.98,2020,3600,0,0,0,4,2,5,3.4498194444444437,0.0
2,5,2.25,2961,3600,5.32,2848,3600,9.84,2988,3600,10.41,2852,3600,11.25,2825,3600,0,0,0,1,4,3,1.03563888888889,0.0
4,3,2.25,2961,3600,9.84,2988,3600,10.41,2852,3600,11.25,2825,3600,11.55,1388,3600,0,0,0,4,4,3,0.0,6.416270833333336
4,3,2.25,2961,3600,9.84,2988,3600,10.41,2852,3600,11.25,2825,3600,11.75,2235,3600,0,0,0,4,6,1,0.0,4.248770833333335
6,1,2.25,2961,3600,9.84,2988,3600,10.41,2852,3600,11.25,2825,3600,12.01,2749,3600,0,0,0,4,6,1,0.0,4.592923611111111
6,1,2.25,2961,3600,9.84,2988,3600,10.41,2852,3600,11.25,2825,3600,12.37,2888,3600,0,0,0,3,5,2,0.0,3.6379236111111126
5,2,2.25,2961,3600,9.84,2988,3600,10.41,2852,3600,12.37,2888,3600,12.54,2406,3600,0,0,0,4,4,3,0.0,0.3269236111111127
4,3,2.25,2961,3600,9.84,2988,3600,10.41,2852,3600,12.37,2888,3600,12.79,2578,3600,0,0,0,4,6,1,6.144768518518518,0.0
6,1,2.25,2961,3600,9.84,2988,3600,10.41,2852,3600,12.37,2888,3600,12.93,2533,3600,0,0,0,4,6,1,0.0,4.251307870370372
6,1,2.25,2961,3600,9.84,2988,3600,10.41,2852,3600,12.37,2888,3600,13.15,1817,3600,0,0,0,4,1,6,0.0,3.371307870370373
1,6,2.25,2961,3600,9.84,2988,3600,10.41,2852,3600,12.37,2888,3600,13.35,1112,3600,0,0,0,4,5,2,3.9614486882716022,0.0
5,2,2.25,2961,3600,9.84,2988,3600,10.41,2852,3600,12.37,2888,3600,0.0,0,0,0,0,0,3,2,5,0.0,0.46110262345679587
2,5,2.25,2961,3600,9.84,2988,3600,10.41,2852,3600,0.0,0,0,0.0,0,0,0,0,0,2,2,5,6.95089737654321,0.0
2,5,2.25,2961,3600,9.84,2988,3600,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4,3,4.574897376543213,0.0
4,3,9.84,2988,3600,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4,3,0.0,3.822653935185194
1,1,0.1,1625,3600,0.36,2544,3600,0.64,1039,3600,0.85,2244,3600,1.1,1734,3600,0,0,0,0,5,2,0.0,0.0
5,2,0.36,2544,3600,0.64,1039,3600,0.85,2244,3600,1.1,1734,3600,1.3,2103,3600,0,0,0,0,5,2,3.89,0.0
5,2,0.64,1039,3600,0.85,2244,3600,1.1,1734,3600,1.3,2103,3600,1.4,2474,3600,0,0,0,0,4,3,0.0,4.4639999999999995
4,3,0.85,2244,3600,1.1,1734,3600,1.3,2103,3600,1.4,2474,3600,1.54,2244,3600,0,0,0,1,5,2,0.0,2.4259999999999993
5,2,0.85,2244,3600,1.3,2103,3600,1.4,2474,3600,1.54,2244,3600,1.79,1469,3600,0,0,0,4,5,2,0.0,1.5219999999999994
