Current V 0,Current V 1,Ship 1 arrival time,Ship 1 teu,Ship 1 waiting cost,Ship 2 arrival time,Ship 2 teu,Ship 2 waiting cost,Ship 3 arrival time,Ship 3 teu,Ship 3 waiting cost,Ship 4 arrival time,Ship 4 teu,Ship 4 waiting cost,Ship 5 arrival time,Ship 5 teu,Ship 5 waiting cost,Ship 6 arrival time,Ship 6 teu,Ship 6 waiting cost,U,V 0,V 1,y 0,y 1
1,1,0.31,1445,3600,0.79,2584,3600,1.36,1798,3600,1.54,2332,3600,0,0,0,0,0,0,0,5,2,0.0,0.0
5,2,0.79,2584,3600,1.36,1798,3600,1.54,2332,3600,1.67,2548,3600,0,0,0,0,0,0,1,5,2,4.56,0.0
5,2,0.79,2584,3600,1.54,2332,3600,1.67,2548,3600,1.8,1850,3600,0,0,0,0,0,0,0,2,5,0.0,4.646000000000001
2,5,1.54,2332,3600,1.67,2548,3600,1.8,1850,3600,2.08,1921,3600,0,0,0,0,0,0,2,4,3,2.983999999999999,0.0
4,3,1.54,2332,3600,1.67,2548,3600,2.08,1921,3600,2.14,1571,3600,0,0,0,0,0,0,3,4,3,0.0,3.4090000000000016
4,3,1.54,2332,3600,1.67,2548,3600,2.08,1921,3600,2.25,2961,3600,0,0,0,0,0,0,0,2,5,0.0,0.9565000000000019
2,5,1.67,2548,3600,2.08,1921,3600,2.25,2961,3600,2.35,1909,3600,0,0,0,0,0,0,3,3,4,5.1314,0.0
3,4,1.67,2548,3600,2.08,1921,3600,2.25,2961,3600,2.68,1518,3600,0,0,0,0,0,0,3,4,3,2.2820999999999985,0.0
4,3,1.67,2548,3600,2.08,1921,3600,2.25,2961,3600,3.08,1014,3600,0,0,0,0,0,0,3,3,4,0.0,2.092900000000002
3,4,1.67,2548,3600,2.08,1921,3600,2.25,2961,3600,3.45,1519,3600,0,0,0,0,0,0,1,5,2,0.8070999999999957,0.0
5,2,1.67,2548,3600,2.25,2961,3600,3.45,1519,3600,3.69,1030,3600,0,0,0,0,0,0,3,4,3,0.0,4.024600000000003
4,3,1.67,2548,3600,2.25,2961,3600,3.45,1519,3600,3.94,2091,3600,0,0,0,0,0,0,3,2,5,0.0,2.4244000000000048
2,5,1.67,2548,3600,2.25,2961,3600,3.45,1519,3600,4.15,2674,3600,0,0,0,0,0,0,2,3,4,3.810399999999996,0.0
3,4,1.67,2548,3600,2.25,2961,3600,4.15,2674,3600,4.27,2046,3600,0,0,0,0,0,0,0,5,2,1.1655999999999942,0.0
