Current V 0,Current V 1,Ship 1 arrival time,Ship 1 teu,Ship 1 waiting cost,Ship 2 arrival time,Ship 2 teu,Ship 2 waiting cost,Ship 3 arrival time,Ship 3 teu,Ship 3 waiting cost,Ship 4 arrival time,Ship 4 teu,Ship 4 waiting cost,Ship 5 arrival time,Ship 5 teu,Ship 5 waiting cost,Ship 6 arrival time,Ship 6 teu,Ship 6 waiting cost,U,V 0,V 1,y 0,y 1
1,1,0.31,1445,3600,0.79,2584,3600,1.36,1798,3600,0,0,0,0,0,0,0,0,0,0,4,3,0.0,0.0
4,3,0.79,2584,3600,1.36,1798,3600,1.54,2332,3600,0,0,0,0,0,0,0,0,0,1,5,2,4.25,0.0
5,2,0.79,2584,3600,1.54,2332,3600,1.67,2548,3600,0,0,0,0,0,0,0,0,0,0,2,5,0.0,4.646000000000001
2,5,1.54,2332,3600,1.67,2548,3600,1.8,1850,3600,0,0,0,0,0,0,0,0,0,2,5,2,2.983999999999999,0.0
5,2,1.54,2332,3600,1.67,2548,3600,2.08,1921,3600,0,0,0,0,0,0,0,0,0,0,2,5,0.0,4.094
2,5,1.67,2548,3600,2.08,1921,3600,2.14,1571,3600,0,0,0,0,0,0,0,0,0,2,5,2,3.0759999999999996,0.0
5,2,1.67,2548,3600,2.08,1921,3600,2.25,2961,3600,0,0,0,0,0,0,0,0,0,1,2,5,0.0,3.110000000000001
2,5,1.67,2548,3600,2.25,2961,3600,2.35,1909,3600,0,0,0,0,0,0,0,0,0,2,5,2,2.8519999999999994,0.0
5,2,1.67,2548,3600,2.25,2961,3600,2.68,1518,3600,0,0,0,0,0,0,0,0,0,2,5,2,0.0,3.5280000000000005
5,2,1.67,2548,3600,2.25,2961,3600,3.08,1014,3600,0,0,0,0,0,0,0,0,0,2,3,4,0.0,2.264000000000001
3,4,1.67,2548,3600,2.25,2961,3600,3.45,1519,3600,0,0,0,0,0,0,0,0,0,2,5,2,1.3599999999999968,0.0
5,2,1.67,2548,3600,2.25,2961,3600,3.69,1030,3600,0,0,0,0,0,0,0,0,0,2,3,4,0.0,2.8160000000000025
3,4,1.67,2548,3600,2.25,2961,3600,3.94,2091,3600,0,0,0,0,0,0,0,0,0,2,3,4,0.2959999999999967,0.0
3,4,1.67,2548,3600,2.25,2961,3600,4.15,2674,3600,0,0,0,0,0,0,0,0,0,0,2,5,0.0,3.965333333333337
2,5,2.25,2961,3600,4.15,2674,3600,4.27,2046,3600,0,0,0,0,0,0,0,0,0,2,5,2,3.763333333333332,0.0
5,2,2.25,2961,3600,4.15,2674,3600,4.61,2392,3600,0,0,0,0,0,0,0,0,0,2,2,5,0.0,3.6826666666666696
2,5,2.25,2961,3600,4.15,2674,3600,4.74,1999,3600,0,0,0,0,0,0,0,0,0,2,5,2,3.8533333333333317,0.0
5,2,2.25,2961,3600,4.15,2674,3600,4.9,2030,3600,0,0,0,0,0,0,0,0,0,2,2,5,0.0,3.294666666666668
2,5,2.25,2961,3600,4.15,2674,3600,5.0,1694,3600,0,0,0,0,0,0,0,0,0,2,3,4,3.431333333333333,0.0
3,4,2.25,2961,3600,4.15,2674,3600,5.32,2848,3600,0,0,0,0,0,0,0,0,0,1,3,4,0.38450000000000095,0.0
3,4,2.25,2961,3600,5.32,2848,3600,5.44,2697,3600,0,0,0,0,0,0,0,0,0,2,2,5,0.0,5.057333333333332
2,5,2.25,2961,3600,5.32,2848,3600,5.85,2447,3600,0,0,0,0,0,0,0,0,0,2,5,2,3.6483333333333334,0.0
5,2,2.25,2961,3600,5.32,2848,3600,6.27,2244,3600,0,0,0,0,0,0,0,0,0,2,5,2,0.0,4.823666666666668
5,2,2.25,2961,3600,5.32,2848,3600,6.74,2429,3600,0,0,0,0,0,0,0,0,0,2,2,5,0.0,2.951666666666668
2,5,2.25,2961,3600,5.32,2848,3600,7.33,1933,3600,0,0,0,0,0,0,0,0,0,2,2,5,5.002533333333332,0.0
2,5,2.25,2961,3600,5.32,2848,3600,7.82,1789,3600,0,0,0,0,0,0,0,0,0,2,5,2,3.390533333333334,0.0
5,2,2.25,2961,3600,5.32,2848,3600,7.99,2128,3600,0,0,0,0,0,0,0,0,0,2,2,5,0.0,3.340986666666666
2,5,2.25,2961,3600,5.32,2848,3600,8.12,1293,3600,0,0,0,0,0,0,0,0,0,2,4,3,3.3270133333333334,0.0
4,3,2.25,2961,3600,5.32,2848,3600,8.67,2747,3600,0,0,0,0,0,0,0,0,0,2,4,3,0.0,1.0219799999999992
4,3,2.25,2961,3600,5.32,2848,3600,9.35,2778,3600,0,0,0,0,0,0,0,0,0,2,5,2,4.35736,0.0
5,2,2.25,2961,3600,5.32,2848,3600,9.43,2462,3600,0,0,0,0,0,0,0,0,0,2,2,5,0.0,4.183319999999998
2,5,2.25,2961,3600,5.32,2848,3600,9.66,1833,3600,0,0,0,0,0,0,0,0,0,2,2,5,4.420680000000001,0.0
2,5,2.25,2961,3600,5.32,2848,3600,9.84,2988,3600,0,0,0,0,0,0,0,0,0,1,5,2,2.892680000000002,0.0
5,2,2.25,2961,3600,9.84,2988,3600,10.1,1665,3600,0,0,0,0,0,0,0,0,0,2,5,2,0.0,5.689727999999995
5,2,2.25,2961,3600,9.84,2988,3600,10.41,2852,3600,0,0,0,0,0,0,0,0,0,2,2,5,0.0,4.301727999999997
2,5,2.25,2961,3600,9.84,2988,3600,10.68,2007,3600,0,0,0,0,0,0,0,0,0,2,2,5,5.052108799999999,0.0
2,5,2.25,2961,3600,9.84,2988,3600,10.93,2323,3600,0,0,0,0,0,0,0,0,0,2,5,2,3.380108800000002,0.0
5,2,2.25,2961,3600,9.84,2988,3600,10.98,2020,3600,0,0,0,0,0,0,0,0,0,2,5,2,0.0,4.491156480000001
5,2,2.25,2961,3600,9.84,2988,3600,11.25,2825,3600,0,0,0,0,0,0,0,0,0,2,2,5,0.0,2.8071564800000033
2,5,2.25,2961,3600,9.84,2988,3600,11.55,1388,3600,0,0,0,0,0,0,0,0,0,2,2,5,5.777537408000001,0.0
2,5,2.25,2961,3600,9.84,2988,3600,11.75,2235,3600,0,0,0,0,0,0,0,0,0,2,5,2,4.621537408000002,0.0
5,2,2.25,2961,3600,9.84,2988,3600,12.01,2749,3600,0,0,0,0,0,0,0,0,0,2,2,5,0.0,3.504985036800001
2,5,2.25,2961,3600,9.84,2988,3600,12.37,2888,3600,0,0,0,0,0,0,0,0,0,2,5,2,5.0210149632000025,0.0
5,2,2.25,2961,3600,9.84,2988,3600,12.54,2406,3600,0,0,0,0,0,0,0,0,0,2,2,5,0.0,4.436985036799989
2,5,2.25,2961,3600,9.84,2988,3600,12.79,2578,3600,0,0,0,0,0,0,0,0,0,2,5,2,4.185014963200004,0.0
5,2,2.25,2961,3600,9.84,2988,3600,12.93,2533,3600,0,0,0,0,0,0,0,0,0,2,2,5,0.0,4.190985036799994
2,5,2.25,2961,3600,9.84,2988,3600,13.15,1817,3600,0,0,0,0,0,0,0,0,0,2,2,5,4.311014963200002,0.0
2,5,2.25,2961,3600,9.84,2988,3600,13.35,1112,3600,0,0,0,0,0,0,0,0,0,2,4,3,2.7950149632000034,0.0
4,3,2.25,2961,3600,9.84,2988,3600,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.0,1.3607387776000017
3,4,9.84,2988,3600,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5.389261222400009,0.0
1,1,0.1,1625,3600,0.36,2544,3600,0.64,1039,3600,0,0,0,0,0,0,0,0,0,2,2,5,0.0,0.0
2,5,0.1,1625,3600,0.36,2544,3600,0.85,2244,3600,0,0,0,0,0,0,0,0,0,0,5,2,3.4400000000000004,0.0
5,2,0.36,2544,3600,0.85,2244,3600,1.1,1734,3600,0,0,0,0,0,0,0,0,0,2,2,5,0.0,1.4460000000000002
2,5,0.36,2544,3600,0.85,2244,3600,1.3,2103,3600,0,0,0,0,0,0,0,0,0,1,5,2,4.2540000000000004,0.0
5,2,0.36,2544,3600,1.3,2103,3600,1.4,2474,3600,0,0,0,0,0,0,0,0,0,1,2,5,0.0,2.7359999999999998
2,5,0.36,2544,3600,1.4,2474,3600,1.54,2244,3600,0,0,0,0,0,0,0,0,0,2,5,2,4.452000000000001,0.0
5,2,0.36,2544,3600,1.4,2474,3600,1.79,1469,3600,0,0,0,0,0,0,0,0,0,2,4,3,0.0,2.855999999999999
4,3,0.36,2544,3600,1.4,2474,3600,2.37,2682,3600,0,0,0,0,0,0,0,0,0,1,3,4,0.46799999999999997,0.0
3,4,0.36,2544,3600,2.37,2682,3600,2.77,2779,3600,0,0,0,0,0,0,0,0,0,0,2,5,0.0,3.661999999999999
2,5,2.37,2682,3600,2.77,2779,3600,2.92,2015,3600,0,0,0,0,0,0,0,0,0,2,5,2,3.984,0.0
5,2,2.37,2682,3600,2.77,2779,3600,3.27,2469,3600,0,0,0,0,0,0,0,0,0,2,2,5,0.0,3.3960000000000026
2,5,2.37,2682,3600,2.77,2779,3600,3.69,1019,3600,0,0,0,0,0,0,0,0,0,2,2,5,4.263999999999998,0.0
2,5,2.37,2682,3600,2.77,2779,3600,4.09,2066,3600,0,0,0,0,0,0,0,0,0,2,5,2,3.415999999999997,0.0
5,2,2.37,2682,3600,2.77,2779,3600,4.26,2106,3600,0,0,0,0,0,0,0,0,0,2,2,5,0.0,3.442400000000003
2,5,2.37,2682,3600,2.77,2779,3600,4.55,2183,3600,0,0,0,0,0,0,0,0,0,2,5,2,3.527599999999998,0.0
5,2,2.37,2682,3600,2.77,2779,3600,4.65,1978,3600,0,0,0,0,0,0,0,0,0,2,2,5,0.0,3.6564000000000014
2,5,2.37,2682,3600,2.77,2779,3600,4.84,1937,3600,0,0,0,0,0,0,0,0,0,2,5,2,3.193599999999998,0.0
5,2,2.37,2682,3600,2.77,2779,3600,5.05,2432,3600,0,0,0,0,0,0,0,0,0,2,2,5,0.0,3.318400000000004
2,5,2.37,2682,3600,2.77,2779,3600,5.17,1297,3600,0,0,0,0,0,0,0,0,0,2,2,5,4.175599999999996,0.0
2,5,2.37,2682,3600,2.77,2779,3600,5.37,1311,3600,0,0,0,0,0,0,0,0,0,2,4,3,3.095599999999994,0.0
4,3,2.37,2682,3600,2.77,2779,3600,5.61,2836,3600,0,0,0,0,0,0,0,0,0,0,4,3,0.0,1.2183000000000064
4,3,2.77,2779,3600,5.61,2836,3600,5.83,2793,3600,0,0,0,0,0,0,0,0,0,0,5,2,3.965599999999995,0.0
5,2,5.61,2836,3600,5.83,2793,3600,6.17,1245,3600,0,0,0,0,0,0,0,0,0,2,5,2,0.0,4.366200000000003
5,2,5.61,2836,3600,5.83,2793,3600,6.5,2549,3600,0,0,0,0,0,0,0,0,0,2,2,5,0.0,3.3302000000000014
2,5,5.61,2836,3600,5.83,2793,3600,6.78,2895,3600,0,0,0,0,0,0,0,0,0,1,5,2,4.599519999999998,0.0
5,2,5.61,2836,3600,6.78,2895,3600,6.96,1294,3600,0,0,0,0,0,0,0,0,0,2,5,2,0.0,4.406480000000002
5,2,5.61,2836,3600,6.78,2895,3600,7.17,2744,3600,0,0,0,0,0,0,0,0,0,2,2,5,0.0,3.3264800000000037
2,5,5.61,2836,3600,6.78,2895,3600,7.38,2966,3600,0,0,0,0,0,0,0,0,0,0,5,2,5.037407999999996,0.0
5,2,6.78,2895,3600,7.38,2966,3600,7.59,2640,3600,0,0,0,0,0,0,0,0,0,2,2,5,0.0,4.304592000000003
2,5,6.78,2895,3600,7.38,2966,3600,7.82,1003,3600,0,0,0,0,0,0,0,0,0,2,2,5,4.741408,0.0
2,5,6.78,2895,3600,7.38,2966,3600,7.96,2272,3600,0,0,0,0,0,0,0,0,0,2,5,2,3.9054080000000013,0.0
5,2,6.78,2895,3600,7.38,2966,3600,8.22,1400,3600,0,0,0,0,0,0,0,0,0,2,5,2,0.0,3.669436799999996
5,2,6.78,2895,3600,7.38,2966,3600,8.39,1078,3600,0,0,0,0,0,0,0,0,0,2,3,4,0.0,2.501436799999997
3,4,6.78,2895,3600,7.38,2966,3600,8.71,2421,3600,0,0,0,0,0,0,0,0,0,2,3,4,1.2499224000000044,0.0
