Name,Arrival Time,TEU,Waiting Cost
Ning-Po  ,0.25,2973,3882
SS Princess Irene,0.51,1409,3462
HMS Chester ,0.8,1424,3632
HMS Nereid  ,0.94,1008,3845
HMS Interceptor ,1.22,1439,3746
Wonkatania ,1.48,1637,3632
USS Abraham Lincoln ,1.68,2271,3365
HMS Torrin ,1.98,1447,3935
The Wanderer  ,2.23,1196,3792
Ulysses ,2.54,1937,3135
SS Happy Wanderer ,2.8,2397,3134
USS Davies ,3.21,1700,3643
USS Caine ,3.19,2133,3141
Liparus ,3.6,2159,3965
USS San Pablo ,3.69,2598,3006
African Queen ,3.97,2315,3339
HMS Endeavour ,4.42,1012,3744
USS Tiger Shark ,4.3,1231,3437
Argo ,4.62,1240,3353
USS Caine ,4.89,2293,3538
Angelina  ,5.45,1033,3851
Sea Cliff  ,5.5,2387,3949
Disco Volante ,5.79,1595,3689
USS Echo ,5.98,2997,3025
USS San Pablo ,6.41,2589,3768
Altair ,6.5,1690,3552
Sea Cliff  ,6.62,1722,3897
HMS Torrin ,6.95,2681,3051
USS Pequod  ,7.43,2311,3797
SSNR Seaview ,7.37,2861,3782
USS Stingray  ,7.76,2083,3341
Caledonia II  ,8.2,1138,4000
Black Swan ,8.05,1605,3623
USS Dragonfish ,7.97,2017,3018
SS Andes ,8.61,2309,3363
Caledonia II  ,9.17,1118,3678
Ghost ,9.16,1989,3182
Amindra ,9.47,1547,3411
Red October ,9.6,1652,3881
The Wanderer  ,9.94,2286,3432
Benthic Explorer ,10.27,1375,3132
Glencairn ,10.33,2371,3648
Red Dragon  ,10.92,1912,3352
USS Echo ,10.97,2591,3892
SS Claridon ,10.97,1118,3722
SS Happy Wanderer ,11.11,2454,3402
HMS Sherwood  ,11.86,1535,3908
USS Valhalla ,11.94,1278,3049
Albatross ,12.28,2862,3395
SS Princess Irene,12.5,1995,3621
