Name,Arrival Time,TEU,Waiting Cost
The Flying Wasp ,0.13,1278,4665
Brandenburg ,0.45,2835,3769
HMS Sea Tiger ,0.68,2669,3671
Elizabeth Dane ,0.88,1977,4309
Albatross ,1.15,1299,3532
Ghost ,1.4,2601,3577
HMS Victoria ,1.49,1953,3794
Love Nest ,1.74,1206,3772
Jenny  ,1.94,2992,3499
Black Pearl ,2.06,2563,4056
The Flying Wasp ,2.37,2428,3530
USS Poseidon ,3.2,2118,3613
HMS Endeavour ,3.71,1966,3415
Patna ,3.87,2462,3303
HMS Torrin ,4.09,1501,3526
Starfish  ,4.39,1064,3785
HMS Saltash Castle ,4.62,1299,3895
Caledonia II  ,4.9,1304,3242
HMS Shag at Sea  ,5.03,2347,4227
Arabella ,5.45,1780,3481
USS Intrepid ,5.52,1433,3607
HMS Endeavour ,5.78,1006,3468
Jenny  ,5.87,1690,3232
Arabella ,6.1,1940,3355
Caledonia II  ,6.57,1719,4018
HMS Defiant ,7.14,1810,3290
Red Dragon  ,7.34,1759,3554
Saracen ,7.43,1864,4066
Love Nest ,7.76,2074,4051
Red Witch ,7.96,1010,3641
Hai Peng ,8.16,2431,3629
Yellow Submarine ,8.46,1849,3736
HMS Interceptor ,8.8,1925,3559
USS Dragonfish ,8.93,1167,3675
Red October ,9.08,2146,3820
USS Thunderfish ,9.59,1952,3445
Ulysses ,9.88,1139,4154
USS Caine ,9.93,1101,3155
Morning Star ,10.15,2414,3824
Red October ,10.23,1539,3333
HMS Sea Tiger ,10.59,2217,3668
Arabella ,10.72,2027,3544
U-571  ,11.36,1676,3537
Jenny ,11.76,1187,3313
Liparus ,11.97,2317,3249
USS Pequod  ,12.09,2669,3491
SS Sea Witch ,12.15,1159,3427
USS Charleston  ,12.2,2383,3694
Edinburgh Trader ,12.28,2913,3076
HMS Bedford ,12.59,1257,3383
