Name,Arrival Time,TEU,Waiting Cost
Rob Roy ,0.31,2143,3587
Argo ,0.49,2251,3823
SS Sea Witch ,0.85,1891,3069
USS Abraham Lincoln ,0.96,1782,3074
Belafonte ,1.32,2337,3075
USS Echo ,1.51,2990,3473
The Henrietta  ,1.79,1738,3187
HMS Endeavour ,1.96,2963,3563
USS Bedford ,2.16,2478,3136
USS Intrepid ,2.51,2211,3402
Liparus ,2.82,2708,3797
USS Copperfin ,2.95,1604,3454
USS Scotia  ,3.38,2256,3373
USS Tiger Shark ,3.54,1473,3493
Acheron ,3.77,1563,3380
Stealth Ship ,3.95,1033,3003
Liparus ,4.26,3000,3788
USS Sawfish ,4.42,1125,3108
USS Copperfin ,4.98,1227,3451
USS Copperfin ,5.19,2919,3503
USS Dragonfish ,5.23,2491,3094
Rachel ,5.54,1110,3687
Sea Star ,5.53,2065,3079
USS Reluctant ,5.85,2280,3439
Love Nest ,6.6,2308,3097
HMS Saltash Castle ,6.42,2761,3022
African Queen ,6.77,1298,3743
Proteus  ,6.79,2302,3704
African Queen ,7.03,1230,3493
SS Antonia Graza ,7.48,2913,3255
Patna ,7.8,1436,3341
Nathan Ross ,7.86,2160,3888
Elizabeth Dane ,8.0,2448,3891
Jenny  ,8.64,2990,3767
SS Crescent Star,8.96,1873,3653
Rachel ,9.05,1352,3013
Rob Roy ,9.43,1312,3676
USS Sawfish ,9.92,1137,3934
SS Antonia Graza ,9.61,1797,3087
HMS Victoria ,9.84,2995,3575
Starfish  ,10.61,2746,3767
Academic Vladislav Volkov ,10.7,2780,3636
Edinburgh Trader ,10.56,1363,3520
Nautilus ,10.83,2305,3608
Ulysses ,11.53,2304,3171
Pequod ,11.49,1666,3957
Red Dragon  ,11.56,2431,3681
Black Swan ,12.01,2925,3955
The Henrietta  ,12.36,1395,3338
HMS Devonshire ,12.87,1253,3605
