Name,Arrival Time,TEU,Waiting Cost
Disco Volante ,0.65,2372,3948
Stealth Ship ,0.75,2029,3965
Yellow Submarine ,1.06,2329,3229
HMS Lydia ,1.3,1784,3611
USS Starfish ,1.55,1693,3874
USS Bedford ,1.69,1393,3301
HMS Interceptor ,1.78,2013,3595
USS Haynes ,1.93,1509,3635
HMS Solent  ,2.02,1052,3516
Saracen ,2.23,1157,3510
Aquanaut 3  ,2.39,1866,3065
Rob Roy ,2.74,1687,3515
SS Antonia Graza ,3.21,2702,3650
HMS Shag at Sea  ,3.63,2084,3408
Rights-of-Man ,3.92,2127,3628
Flying Dutchman ,4.02,2265,2953
Jenny ,4.26,1211,3905
Altair ,4.39,1255,3340
USS Valhalla ,4.71,1827,3326
SS Sea Witch ,4.93,2547,3594
Patna ,5.07,2343,4026
Immer Essen ,5.17,2243,3867
Patna ,5.37,1459,3343
USS Starfish ,5.71,2568,3168
SS Goliath ,6.18,2636,3289
USS Haynes ,6.68,1585,3883
Black Pearl ,7.25,2808,3348
Aquanaut 3  ,7.54,2061,3682
HMS Viperess ,7.77,1811,3746
USS Sea Tiger ,7.99,2372,3371
USS Aspen ,8.39,2110,3189
Flying Dutchman ,8.48,1883,3205
Pequod ,8.93,2005,3435
Flying Dutchman ,9.23,2419,3333
Sea Star ,9.37,2227,3372
Rob Roy ,9.61,2876,3362
Black Pearl ,9.7,2136,3653
Poseidon ,10.32,2318,3405
SS Essess  ,10.5,2292,3610
Reaper  ,10.99,1858,3697
Love Nest ,11.53,2253,4277
USS Stingray  ,11.71,2628,4134
HMS Compass Rose ,11.82,1985,3672
Argonautica ,11.99,1317,3608
Rights-of-Man ,12.16,1596,3793
SSN Ulysses ,12.36,1994,3690
USS Scotia  ,12.76,1392,3355
Black Pearl ,13.01,1296,3860
Proteus  ,13.3,2898,3806
Ghost ,13.47,2283,3848
