Name,Arrival Time,TEU,Waiting Cost
U-571  ,0.27,2025,3935
Turtle  ,0.35,1043,3370
Nautilus ,0.58,1663,3044
HMS Shag at Sea  ,1.16,2083,3532
Patna ,1.31,2592,3580
HMS Victoria ,1.41,1239,3616
USS Stingray  ,1.68,1074,3296
HMS Sea Tiger ,1.97,2346,2887
Pequod ,2.05,2239,3055
USS Bedford ,2.78,2292,3799
HMS Lydia ,2.91,2363,3739
African Queen ,3.02,1208,3549
Belafonte ,3.36,1518,3508
Reaper  ,3.64,1348,3194
Argo ,3.79,2187,3575
Amindra ,4.06,1936,3357
HMS Nereid  ,4.41,1026,3650
SS Essess  ,4.64,2105,3530
USS Lansing ,4.76,1277,3406
USS Intrepid ,4.84,1748,3740
USS Pequod  ,5.3,2974,3369
USS Scotia  ,5.59,1234,3533
Acheron ,5.68,2471,4214
Poseidon ,5.97,2099,3629
SS Chiku Shan ,6.06,1611,3797
Acheron ,6.25,2654,3746
SS Minnow Johnson  ,6.67,1229,3245
USS Tiger Shark ,6.81,1533,4005
SS Britannic ,7.08,1725,3336
HMS Solent  ,7.38,2671,3479
Flying Dutchman ,7.55,2688,3457
The Inferno ,7.61,2050,3519
Albatross ,7.79,1880,3697
USS Sawfish ,7.94,1757,3935
USS Intrepid ,8.07,2863,3722
Reaper  ,8.48,2728,3503
Jenny ,8.59,1142,3788
USS Aspen ,8.66,2742,3750
USS Belinda ,8.85,1481,3333
Arabella ,8.99,1509,3786
HMS Viperess ,9.11,1353,3346
The Henrietta  ,9.32,1501,4544
USS Lansing ,9.56,2072,3209
USS Haynes ,9.89,1206,2899
Ghost ,10.27,2037,2984
Ulysses ,10.48,2737,3654
Batavia Queen ,10.8,2985,3974
Rob Roy ,10.94,1972,3743
Sea Star ,11.08,1018,3276
Rob Roy ,11.54,2074,3491
