Name,Arrival Time,TEU,Waiting Cost
SS Antonia Graza ,0.13,2020,3833
USS Copperfin ,0.35,2220,3557
HMS Lydia ,0.42,1789,3441
USS Sea Tiger ,0.55,1472,3181
USS San Pablo ,0.69,1789,3094
Ning-Po  ,0.9,1473,3938
Batavia Queen ,1.32,2864,3370
Rights-of-Man ,1.44,1831,3418
Academic Vladislav Volkov ,1.98,2412,3874
Hai Peng ,2.06,2372,3857
USS Davies ,2.24,1654,3580
SSN Ulysses ,2.86,2382,3489
Stealth Ship ,3.12,2625,3249
HMS Compass Rose ,3.3,2717,4307
Orca ,3.49,2063,3514
HMS Bedford ,3.65,2028,3424
USS Abraham Lincoln ,4.1,1216,3844
HMS Viperess ,4.39,2107,4076
Turtle  ,4.64,2536,3319
USS Poseidon ,4.75,2227,3562
Acheron ,6.04,2198,3199
HMS Sea Tiger ,6.35,1826,3643
USS San Pablo ,6.62,2925,3510
HMS Nereid  ,6.78,1563,3517
Red October ,7.26,2407,3241
St. Georges ,7.63,2210,3609
SS Claridon ,7.87,2188,3383
HMS Torrin ,8.05,1653,3760
USS Stingray  ,8.32,1197,3663
HMS Lydia ,9.07,1062,3793
Red Witch ,9.2,2417,3875
SS Crescent Star,9.6,2712,3792
Belafonte ,9.84,2957,3109
Saracen ,10.0,1883,4040
HMS Sherwood  ,10.27,2985,3645
USS Thunderfish ,10.7,1954,3111
Empress ,10.91,2575,3628
USS Bedford ,11.22,1166,3226
Black Hawk ,11.29,2419,3703
USS San Pablo ,11.62,2947,3226
Saracen ,11.69,1765,3635
Starfish  ,11.98,2853,3046
U-571  ,12.17,1037,3277
USS Tigerfish ,12.34,2365,3940
HMS Venus ,12.45,1824,3692
Morning Star ,12.59,2933,4270
USS Bedford ,12.85,2994,3910
HMS Solent  ,13.03,2601,3631
MS Ergenstrasse ,13.13,1283,3586
HMS Chester ,13.28,1475,3529
