Name,Arrival Time,TEU,Waiting Cost
Sea Cliff  ,0.23,1762,3132
Benthic Explorer ,0.43,2677,3091
HMS Compass Rose ,0.72,1260,3322
HMS Nereid  ,1.1,1042,3111
African Queen ,1.41,1660,3806
SS Goliath ,1.54,2090,3511
SS Venture ,1.77,1581,3202
HMS Sherwood  ,2.01,2604,3699
HMS Endeavour ,2.19,1891,3690
Pequod ,2.51,2571,3172
Red Witch ,2.76,2629,3866
The Flying Wasp ,2.98,1811,3484
SS Britannic ,3.22,1846,3930
USS Tigerfish ,3.49,1222,3135
HMS Solent  ,3.89,2379,3050
Aquanaut 3  ,4.16,2280,3225
USS Valhalla ,4.21,1485,3468
USS Tiger Shark ,4.7,1568,3015
Ghost ,4.56,1646,3307
USS Lansing ,4.91,1199,3836
SS Princess Irene,5.35,1198,3173
Yellow Submarine ,5.34,1838,3404
SSN Ulysses ,5.65,2145,3617
Nautilus ,6.41,2002,3295
African Queen ,6.17,2304,3858
Edinburgh Trader ,6.73,1583,3954
SS Andes ,6.77,2043,3997
Geronimo ,6.65,2332,3593
Albatross ,7.35,2565,3301
SS Goliath ,7.49,1740,3142
Arabella ,7.93,2680,3830
SS Sea Witch ,7.91,1599,3148
Arabella ,8.28,2166,3252
HMS Nereid  ,8.62,2205,3312
Red Dragon  ,8.85,2583,3697
Edinburgh Trader ,8.96,1307,3042
USS Tiger Shark ,9.1,2767,3589
Disco Volante ,9.48,2207,3375
SS Britannic ,10.0,1339,3685
HMS Sea Tiger ,9.88,1990,3378
HMS Viperess ,10.35,2013,3630
Nautilus ,10.3,2239,3758
Ning-Po  ,11.21,1877,3100
HMS Venus ,10.47,1033,3982
Sea Cliff  ,11.45,1808,3931
Poseidon ,11.55,2901,3295
Starfish  ,11.49,2902,3774
HMS Shag at Sea  ,12.22,2006,3973
Argo ,12.47,1975,3299
HMS Chester ,13.02,1269,3500
