Name,Arrival Time,TEU,Waiting Cost
Starfish  ,0.27,1111,3011
Black Swan ,0.5,1822,3725
Benthic Explorer ,0.74,2904,3773
Disco Volante ,0.93,1662,3320
Black Hawk ,1.32,2023,3535
HMS Avenger ,1.45,2574,3995
IJN Shinaru ,1.89,2621,3317
Flying Dutchman ,1.82,2528,3144
HMS Sherwood  ,2.2,2350,3567
HMS Victoria ,2.5,2965,3927
Angelina  ,2.75,2480,3658
HMS Bedford ,2.94,1973,3734
Rob Roy ,3.21,2162,3231
Black Swan ,3.29,1480,3690
USS Oakland ,3.89,1188,3140
HMS Interceptor ,4.33,2121,3896
Hahnchen Maru ,4.39,1020,3406
Red October ,4.37,2357,3080
Ning-Po  ,4.73,2534,3409
USS Tigerfish ,5.01,2971,3835
Saracen ,5.14,2971,3345
Rachel ,5.4,1253,3908
Geronimo ,5.63,2669,3885
HMS Shag at Sea  ,6.05,2008,3101
Dulcibella ,6.2,2354,3625
HMS Shag at Sea  ,6.39,2618,3794
USS Oakland ,6.83,2142,3380
Rights-of-Man ,7.12,1262,3360
SS Happy Wanderer ,7.07,2784,3750
Amindra ,7.51,2213,3319
SS Minnow Johnson  ,7.66,1548,3602
Geronimo ,7.94,1837,3582
Albatross ,8.47,2155,3895
Nautilus ,8.64,2694,3347
Ghost ,8.67,2041,3437
HMS Viperess ,9.15,2950,3526
HMS Viperess ,9.37,1280,3383
Pequod ,9.82,1230,3152
USS Tigerfish ,9.84,2436,3020
Deep Quest  ,9.95,2166,3510
USS Bedford ,10.0,1942,3382
Brandenburg ,10.69,2808,3901
HMS Bedford ,10.71,1678,3586
USS Caine ,11.04,1711,3122
Glencairn ,11.39,1956,3109
Amindra ,11.46,2547,3740
Q Boat ,12.03,2277,3371
Amindra ,12.14,2358,3719
HMS Saltash Castle ,12.62,1004,3801
SS Sea Witch ,12.3,1852,3661
