Name,Arrival Time,TEU,Waiting Cost
USS Montana ,0.24,1982,3404
Rob Roy ,0.49,1341,3516
Altair ,0.63,1739,3687
Batavia Queen ,0.97,1443,3714
USS Dragonfish ,1.38,2401,3478
Brandenburg ,1.45,1911,3746
Ghost ,1.77,1020,3210
Reaper  ,2.1,1527,3733
USS Abraham Lincoln ,2.25,1110,3791
Orca ,2.39,1779,3474
IJN Shinaru ,2.86,2973,3234
USS Pequod  ,3.05,2791,3715
HMS Interceptor ,3.34,1053,3008
SS Essess  ,3.65,2223,3907
MS Ergenstrasse ,3.64,1192,3094
Wonkatania ,4.08,2525,3690
Argo ,4.43,2773,3345
Edinburgh Trader ,4.19,2611,3455
USS Aspen ,4.48,1426,3121
Empress ,4.84,2081,3932
USS Dragonfish ,5.05,1452,3792
Liparus ,5.26,2897,3500
Ghost ,5.88,1637,3468
Elizabeth Dane ,6.13,1004,3391
Batavia Queen ,6.53,2467,3812
USS San Pablo ,6.63,1483,3068
HMS Saltash Castle ,6.58,2333,3604
HMS Viperess ,6.97,1482,3418
HMS Solent  ,7.54,2841,3560
SS Princess Irene,7.56,2223,3967
USS Charleston  ,7.83,2660,3461
Geronimo ,7.94,2786,3212
Ulysses ,8.19,1627,3874
Immer Essen ,8.7,2792,3439
USS Sea Tiger ,8.95,2655,3721
MS Ergenstrasse ,8.9,1305,3976
SS Chiku Shan ,9.02,1377,3367
Acheron ,9.69,1627,3242
Albatross ,9.96,2642,3751
HMS Endeavour ,9.66,2850,3172
USS Aspen ,10.48,2312,3944
Aquanaut 3  ,10.31,1457,3485
Ulysses ,10.88,1574,3462
SS Claridon ,11.02,2007,3099
Rob Roy ,11.37,1778,3123
Dulcibella ,11.4,1897,3965
HMS Avenger ,11.91,2378,3279
Immer Essen ,11.6,1046,3471
USS Davies ,12.41,1002,3892
HMS Torrin ,12.34,2146,3490
