Name,Arrival Time,TEU,Waiting Cost
HMS Viperess ,0.29,1386,3823
Orca ,0.44,1174,3898
USS Reluctant ,0.65,2617,3112
MS Ergenstrasse ,0.97,1223,3301
The Flying Wasp ,1.05,1343,3794
HMS Avenger ,1.11,2931,3361
Edinburgh Trader ,1.41,2817,3699
SSN Ulysses ,1.78,1042,3740
USS San Pablo ,2.06,2792,3945
HMS Bedford ,2.36,1548,3176
SS Crescent Star,2.62,2657,3409
The Wanderer  ,2.83,1645,3261
The Wanderer  ,3.41,1614,4075
USS Pequod  ,3.52,1486,3770
USS Montana ,3.93,2181,3769
Starfish  ,4.45,1471,3410
HMS Solent  ,4.64,1029,3734
Ghost ,4.75,1523,3741
Acheron ,5.12,2077,3589
Stealth Ship ,5.3,2972,3864
Acheron ,5.54,2430,3118
The Wanderer  ,5.62,2761,3902
HMS Avenger ,5.75,2139,3583
HMS Sutherland ,5.9,2234,3829
The Wanderer  ,6.01,2167,3621
Aeolus ,6.24,2393,2952
Jenny  ,6.5,1903,3625
Rob Roy ,6.63,2962,3486
Wonkatania ,6.71,1828,3086
Glencairn ,7.25,1979,3780
USS Thunderfish ,7.3,1860,3893
USS Starfish ,7.47,2817,3533
Argo ,7.6,2983,3665
Edinburgh Trader ,7.87,1480,3224
St. Georges ,8.09,1152,4293
SS Happy Wanderer ,8.39,1842,3644
USS Tiger Shark ,8.78,1118,3549
USS Haynes ,8.95,1330,4373
Saracen ,9.59,1686,3815
Sea Cliff  ,9.75,1367,3540
USS Intrepid ,9.84,1366,3540
SS Britannic ,9.97,1226,3259
USS San Pablo ,10.2,1724,3498
SS Princess Irene,10.3,2553,3392
Patna ,10.57,2213,3590
HMS Shag at Sea  ,10.65,1512,3984
Immer Essen ,10.77,2422,3161
Red October ,11.09,2826,3711
USS Poseidon ,11.23,1569,3284
HMS Victoria ,11.44,1455,3757
