Names
USS Abraham Lincoln 
Academic Vladislav Volkov 
Acheron 
Aeolus 
African Queen 
Albatross 
Altair 
Amindra 
SS Andes 
Angelina  
SS Antonia Graza 
Aquanaut 3  
Arabella 
Argo 
Argonautica 
USS Aspen 
HMS Avenger 
Batavia Queen 
HMS Bedford 
USS Bedford 
Belafonte 
USS Belinda 
Benthic Explorer 
Black Hawk 
Black Pearl 
Black Swan 
Brandenburg 
SS Britannic 
USS Caine 
Caledonia II  
USS Charleston  
HMS Chester 
USS Davies 
HMS Devonshire 
SS Chiku Shan 
SS Claridon 
HMS Compass Rose 
USS Copperfin 
SS Crescent Star
Deep Quest  
HMS Defiant 
Disco Volante 
USS Dragonfish 
Dulcibella 
USS Echo 
Edinburgh Trader 
Elizabeth Dane 
Empress 
HMS Endeavour 
MS Ergenstrasse 
SS Essess  
Flying Dutchman 
The Flying Wasp 
Geronimo 
Ghost 
Glencairn 
Gloria N 
SS Goliath 
Hahnchen Maru 
Hai Peng 
SS Happy Wanderer 
USS Haynes 
The Henrietta  
Immer Essen 
The Inferno 
HMS Interceptor 
USS Intrepid 
Jenny 
Jenny  
USS Lansing 
Liparus 
Love Nest 
HMS Lydia 
Mary Deare 
SS Minnow Johnson  
USS Montana 
Morning Star 
Nathan Ross 
Nautilus 
HMS Nereid  
Ning-Po  
USS Oakland 
Orca 
Patna 
Pequod 
USS Pequod  
Poseidon 
USS Poseidon 
SS Princess Irene
Q Boat 
Proteus  
Rachel 
Reaper  
Red Dragon  
Red Witch 
Red October 
USS Reluctant 
U-571  
Rights-of-Man 
Rob Roy 
USS San Pablo 
HMS Saltash Castle 
Saracen 
USS Sawfish 
USS Scotia  
Sea Cliff  
Sea Star 
HMS Sea Tiger 
USS Sea Tiger 
SS Sea Witch 
SSNR Seaview 
HMS Shag at Sea  
HMS Sherwood  
HMS Solent  
IJN Shinaru 
Stealth Ship 
St. Georges 
USS Starfish 
Starfish  
USS Stingray  
HMS Sutherland 
USS Thunderfish 
USS Tigerfish 
USS Tiger Shark 
HMS Torrin 
Turtle  
Ulysses 
SSN Ulysses 
USS Valhalla 
SS Venture 
HMS Venus 
HMS Viperess 
HMS Victoria 
The Wanderer  
Wonkatania 
Yellow Submarine 
