Name,Arrival Time,TEU,Waiting Cost
USS Oakland ,0.28,1910,3409
HMS Bedford ,0.53,2712,3503
USS Aspen ,0.77,1825,3555
Flying Dutchman ,1.18,2532,3029
Geronimo ,1.26,1623,3986
Jenny ,1.42,2243,3483
USS Scotia  ,1.55,2018,3971
Benthic Explorer ,1.7,1453,3588
SS Venture ,1.84,2004,3408
African Queen ,2.25,1147,3915
USS Stingray  ,2.74,2916,3549
MS Ergenstrasse ,2.99,1714,3568
Acheron ,3.18,3000,3278
USS Belinda ,3.53,2675,3833
HMS Sea Tiger ,4.01,2887,3217
USS Sawfish ,4.28,2998,3510
Caledonia II  ,4.61,1046,3318
Glencairn ,4.74,2173,3237
SS Chiku Shan ,4.97,2024,4027
Albatross ,5.42,2544,3235
SSN Ulysses ,5.67,2161,3077
HMS Interceptor ,5.85,2724,3738
Rights-of-Man ,6.12,1837,3606
Empress ,6.29,2020,3414
HMS Venus ,6.41,2282,3524
Liparus ,6.92,2180,3519
USS Montana ,7.06,2207,3958
Rob Roy ,7.46,1749,3360
Red Dragon  ,7.49,2688,3467
USS Belinda ,8.09,1260,3859
USS Sea Tiger ,8.19,1502,3732
Flying Dutchman ,8.38,2352,3708
IJN Shinaru ,8.85,2440,3817
Ghost ,9.35,1293,2972
SS Happy Wanderer ,9.51,2520,3257
SS Venture ,9.59,1847,4341
Albatross ,10.37,2518,2984
The Flying Wasp ,10.67,2597,3906
SS Minnow Johnson  ,10.76,1239,3735
USS Bedford ,10.84,2005,3670
HMS Chester ,10.88,1713,3694
Ulysses ,11.0,1809,2849
Geronimo ,11.64,1457,3202
Empress ,11.78,2204,3510
Caledonia II  ,11.95,2276,3698
USS Echo ,12.09,1663,4177
HMS Solent  ,12.41,1628,3652
Nautilus ,12.59,2756,3304
The Inferno ,12.67,1315,3365
Morning Star ,13.03,2609,3276
