Name,Arrival Time,TEU,Waiting Cost
USS Charleston  ,0.33,2702,3239
Flying Dutchman ,0.52,2602,3765
Ghost ,0.68,1532,3557
Academic Vladislav Volkov ,0.91,2032,4111
HMS Bedford ,1.08,2910,4468
Pequod ,1.23,1402,3481
Gloria N ,1.49,2525,3502
USS Poseidon ,1.68,2909,3543
USS Haynes ,1.76,2354,3937
Liparus ,2.02,1021,3367
Angelina  ,2.09,1900,3806
HMS Nereid  ,2.32,1909,3569
Black Swan ,2.69,1945,3405
Poseidon ,2.92,2161,3181
USS Belinda ,3.03,1387,3879
Immer Essen ,3.1,2988,3705
USS Reluctant ,3.22,2256,3811
Albatross ,3.41,2989,3396
Q Boat ,3.55,2921,2840
HMS Avenger ,3.91,2583,3918
Red Witch ,4.2,1291,3807
USS Intrepid ,4.41,1420,3814
Stealth Ship ,4.53,1604,3462
HMS Compass Rose ,4.69,2458,3897
IJN Shinaru ,5.01,2487,3906
The Inferno ,5.28,1983,3941
SS Essess  ,5.86,2057,3893
Brandenburg ,5.99,1101,3378
Jenny ,6.12,2625,3254
Orca ,6.25,1610,3898
Disco Volante ,6.46,1406,3927
HMS Compass Rose ,6.7,1571,3479
USS Tigerfish ,6.88,2867,3086
HMS Saltash Castle ,7.3,1543,3988
Yellow Submarine ,7.53,1757,3496
USS Sawfish ,7.7,2182,3406
Edinburgh Trader ,7.9,1471,3418
USS Starfish ,8.43,2330,3383
USS Haynes ,8.72,1253,3430
Angelina  ,9.14,2706,2785
Immer Essen ,9.73,1669,4081
Caledonia II  ,9.82,1675,3794
SS Goliath ,10.03,1173,3690
Starfish  ,10.18,2427,3207
Brandenburg ,10.4,1814,3881
Angelina  ,10.66,1378,3331
SS Sea Witch ,10.86,2453,3593
USS Intrepid ,11.08,1191,3499
Arabella ,11.21,1713,3294
MS Ergenstrasse ,11.36,2742,3608
