Name,Arrival Time,TEU,Waiting Cost
Hahnchen Maru ,0.10198789315288385,1562,3527
Starfish  ,0.26385638844151976,2843,3759
MS Ergenstrasse ,0.7039872027648286,2938,3357
HMS Torrin ,1.0044893170959244,1584,3803
Elizabeth Dane ,1.0761751957686958,1502,3659
USS Bedford ,1.1831161521093632,2907,2967
Dulcibella ,1.3829858779174307,2687,3773
HMS Sherwood  ,1.8169974632762576,2850,3765
Academic Vladislav Volkov ,2.0858611129726,2250,3965
St. Georges ,2.4936443309820704,2725,3448
SSN Ulysses ,2.9140038617441664,2988,3587
Rights-of-Man ,3.069062356703408,1770,3594
Albatross ,3.371471437550906,2863,3956
Orca ,3.507352255342449,2226,3781
Batavia Queen ,3.609599431923039,2221,3686
Orca ,3.7759659806692127,2155,3288
USS Sawfish ,4.738461866084383,1328,3609
USS Davies ,5.135816643264304,1199,3411
SS Minnow Johnson  ,5.291051617824402,1015,3773
USS Poseidon ,5.641491293071537,2273,3382
Benthic Explorer ,6.019689449272502,2608,3242
Pequod ,6.291421983239812,1812,3641
USS Oakland ,6.5292216192348,2782,3849
SSNR Seaview ,6.816430853154014,1404,3378
HMS Venus ,6.876523621169514,2431,3732
Caledonia II  ,7.004399834974298,2743,3722
USS Intrepid ,7.450205100906114,1141,3398
SS Venture ,7.966606586172108,1179,3184
USS San Pablo ,8.1809540440678,2722,3627
Immer Essen ,8.598639342487868,1583,3750
Deep Quest  ,8.696433518721877,1679,3546
The Henrietta  ,8.888774636706316,1665,3706
The Henrietta  ,9.246498361389799,2067,3159
Sea Star ,9.777868379806266,1524,3317
Aeolus ,9.868124223864614,2547,3554
Morning Star ,10.179438915167117,1023,3312
SS Claridon ,10.356260767400931,1068,3896
HMS Compass Rose ,10.468030380803242,1881,3231
Proteus  ,10.706541586428939,1589,3939
Rights-of-Man ,10.951748306070161,1202,3703
Black Hawk ,11.162639094328629,2267,3228
USS Dragonfish ,11.579945894971734,2290,3752
USS Aspen ,11.73157633989012,1526,3904
SS Britannic ,12.067230712498752,2761,3245
SS Essess  ,12.267233760267512,2147,3638
Red October ,12.393972889239619,1951,3026
Poseidon ,12.564931332459922,2000,3741
The Henrietta  ,12.624097529388452,1903,3191
HMS Sutherland ,13.04284964703062,2695,3502
SS Essess  ,13.106801734125385,1638,2868
