Name,Arrival Time,TEU,Waiting Cost
Poseidon ,0.4352432789323648,1690,3212
USS Dragonfish ,0.645883048035663,1305,3745
HMS Saltash Castle ,1.011627145100391,2892,2974
HMS Defiant ,1.1784681439063456,1440,4121
Acheron ,1.3762885934027143,2494,3732
SS Andes ,1.4328550089043972,1450,3886
Ulysses ,1.7111962410136508,2837,3419
Starfish  ,1.9417340313646372,1444,3536
Black Pearl ,2.1572718794042895,2562,3502
USS Caine ,2.373247741026292,1234,3423
SSNR Seaview ,2.467746301093104,1050,3922
Batavia Queen ,2.691745599239663,1801,3419
SS Chiku Shan ,3.1918686109822794,1587,3495
USS Dragonfish ,3.3838532859335886,2642,3727
Black Pearl ,3.494755162525097,2306,3205
HMS Chester ,3.7390872709655896,1500,3227
HMS Devonshire ,3.8607785885490604,1227,3459
USS Echo ,3.9995403079890206,2078,3632
Academic Vladislav Volkov ,4.1184249599069815,1244,3475
HMS Defiant ,4.604551549646212,1763,3326
Red October ,4.781750533844356,1375,4132
Black Hawk ,5.130725659522995,2659,2936
USS Davies ,5.331989434886543,1929,3929
SS Britannic ,5.4090925969621235,2289,3820
Altair ,5.791652299101106,1151,3211
USS Lansing ,6.1324705257816,1488,3373
Ning-Po  ,6.208474589670848,2583,3790
SS Crescent Star,6.540664144849674,2498,3403
USS Dragonfish ,6.77671956825005,2634,3329
Benthic Explorer ,6.872386050096596,2995,3482
HMS Compass Rose ,7.016162716394621,2896,2873
Amindra ,7.1994248883247876,2129,3956
USS Caine ,7.8071548779615885,1181,3866
Turtle  ,8.145878379089677,1834,3491
Gloria N ,8.272841301133175,1907,3101
USS Pequod  ,8.428592720653036,1408,3636
USS Bedford ,8.998364107928188,2464,3727
SS Sea Witch ,9.192598872617527,1233,3260
USS Stingray  ,9.428912571891278,2161,3333
The Inferno ,9.603268496636641,1474,3908
Black Swan ,9.992333045373856,1364,3517
HMS Endeavour ,10.152581482126903,1866,3370
Orca ,10.581960477429845,1475,3375
Patna ,10.914555351097443,1699,3542
SS Crescent Star,11.171133102042743,1593,3357
Pequod ,11.327340657274044,1128,3198
Hai Peng ,11.625088569840704,2403,3340
SS Princess Irene,11.680798522273136,2316,3471
USS Oakland ,12.136127443247902,2706,3786
USS Intrepid ,12.326222892573321,2282,4027
